Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772793967191,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,-0.664221,-0.5830079,-0.2691943,0.3826834,135,-0.7189477,-0.6310433,-0.2913738
Trial Start,1772793972929,0,1,-0.1004083,1.101746,0.2976607,1.145656,0.009051008,0.0106281,0.003574446,0.9998962,1.650862,0.6282645,0.7377363,0.2481157,0,0,0,0,0,0,0,0,0,1,0,0,0.2004083,-0.001745939,0.002339274,0.2004296,-0.6683929,-0.5869524,-0.2687517,0.3694734,136.6337,-0.7192888,-0.6316468,-0.2892162
Grab,1772793972929,0,1,-0.1004083,1.101746,0.2976607,1.145656,0.009051008,0.0106281,0.003574446,0.9998962,1.650862,0.6282645,0.7377363,0.2481157,0,0,0,0,0,0,0,0,0,1,0,0,0.2004083,-0.001745939,0.002339274,0.2004296,-0.6683929,-0.5869524,-0.2687517,0.3694734,136.6337,-0.7192888,-0.6316468,-0.2892162
Release,1772793976221,3.292293,1,0.0583971,1.07413,0.2334214,1.10075,-0.4057645,-0.1598614,0.079393,0.8963796,52.62762,-0.9153532,-0.360627,0.1791005,0.1234291,-0.08410562,0.04574644,0.1562089,0.6075751,0.37622,0.4706513,0.5174925,117.6716,0.710043,0.4396697,0.5500269,0.0416029,0.02586973,0.06657866,0.08266052,-0.3507943,-0.6233841,-0.1413021,0.6843752,93.62702,-0.4811135,-0.8549697,-0.1937954
Grab,1772793977235,4.306076,1,0.0583971,1.07413,0.2334214,1.10075,-0.4057645,-0.1598614,0.079393,0.8963796,52.62762,-0.9153532,-0.360627,0.1791005,0.1234291,-0.08410562,0.04574644,0.1562089,0.6075751,0.37622,0.4706513,0.5174925,117.6716,0.710043,0.4396697,0.5500269,0.0416029,0.02586973,0.06657866,0.08266052,-0.3507943,-0.6233841,-0.1413021,0.6843752,93.62702,-0.4811135,-0.8549697,-0.1937954
Release,1772793977805,4.87575,1,0.07281024,1.067237,0.242115,1.096775,-0.03262916,-0.6978887,-0.5805681,0.4181237,130.5676,-0.03591977,-0.7682699,-0.6391177,0.1162779,-0.0703121,0.02538474,0.1382343,0.3778034,0.4676959,-0.2946958,0.7427514,84.06736,0.5642501,0.6985047,-0.4401287,0.02718976,0.03276312,0.05788502,0.07185667,-0.415848,0.400143,-0.3349121,0.7448423,83.70889,-0.6232355,0.5996982,-0.501936
Grab,1772793978860,5.931206,1,0.07281024,1.067237,0.242115,1.096775,-0.03262916,-0.6978887,-0.5805681,0.4181237,130.5676,-0.03591977,-0.7682699,-0.6391177,0.1162779,-0.0703121,0.02538474,0.1382343,0.3778034,0.4676959,-0.2946958,0.7427514,84.06736,0.5642501,0.6985047,-0.4401287,0.02718976,0.03276312,0.05788502,0.07185667,-0.415848,0.400143,-0.3349121,0.7448423,83.70889,-0.6232355,0.5996982,-0.501936
Release,1772793979889,6.959639,1,0.08945224,1.086143,0.2376132,1.115423,-0.4528908,-0.7582325,-0.3134017,0.348931,139.1561,-0.4832648,-0.8090848,-0.3344206,0.1236668,-0.06871484,0.0396062,0.1469145,-0.1050678,0.2504563,-0.524511,0.8069204,72.40775,-0.177882,0.4240278,-0.8880081,0.01054776,0.01385701,0.06238683,0.06477182,-0.03705729,0.1729858,-0.2135917,0.9607713,32.20326,-0.1336159,0.6237274,-0.7701383
Grab,1772793980791,7.861638,1,0.08945224,1.086143,0.2376132,1.115423,-0.4528908,-0.7582325,-0.3134017,0.348931,139.1561,-0.4832648,-0.8090848,-0.3344206,0.1236668,-0.06871484,0.0396062,0.1469145,-0.1050678,0.2504563,-0.524511,0.8069204,72.40775,-0.177882,0.4240278,-0.8880081,0.01054776,0.01385701,0.06238683,0.06477182,-0.03705729,0.1729858,-0.2135917,0.9607713,32.20326,-0.1336159,0.6237274,-0.7701383
Release,1772793980972,8.042583,1,0.07202925,1.071788,0.2317697,1.098925,-0.4196789,-0.7318302,-0.3687149,0.3903123,134.0521,-0.4558345,-0.7948778,-0.40048,0.1155121,-0.08816626,0.0169433,0.146299,-0.1492777,0.3874358,-0.08570944,0.9056841,50.16886,-0.3521089,0.9138645,-0.2021672,0.02797075,0.02821171,0.06823036,0.07895344,-0.1166087,0.1844371,-0.2053896,0.9540444,34.87505,-0.3891292,0.6154763,-0.6853958
Grab,1772793982249,9.321107,1,0.07202925,1.071788,0.2317697,1.098925,-0.4196789,-0.7318302,-0.3687149,0.3903123,134.0521,-0.4558345,-0.7948778,-0.40048,0.1155121,-0.08816626,0.0169433,0.146299,-0.1492777,0.3874358,-0.08570944,0.9056841,50.16886,-0.3521089,0.9138645,-0.2021672,0.02797075,0.02821171,0.06823036,0.07895344,-0.1166087,0.1844371,-0.2053896,0.9540444,34.87505,-0.3891292,0.6154763,-0.6853958
On Target,1772793984166,11.25083,1,0.1062738,1.09914,0.300074,1.14431,-0.7125421,-0.5766997,-0.2355665,0.3228152,142.3335,-0.752848,-0.6093215,-0.2488917,0.1233997,-0.07460453,0.02988432,0.147263,0.001237905,0.1306328,0.1357443,0.9820933,21.71834,0.006570776,0.693396,0.7205278,-0.006273769,0.0008604527,-7.393956E-05,0.006332932,0.07616452,-0.002854504,0.03560901,0.9964552,9.651445,0.9053718,-0.03393164,0.4232863
Trial End,1772793985152,12.23722,1,0.1018369,1.098734,0.298993,1.143234,-0.6610934,-0.5667831,-0.2690339,0.4115013,131.4017,-0.7253531,-0.6218755,-0.2951846,0.1219513,-0.07544477,0.03242679,0.1470222,0.02704052,0.2099491,0.1205816,0.9698713,28.20032,0.1109957,0.8617973,0.4949625,-0.001836918,0.00126636,0.00100702,0.002447862,-0.02461243,-0.02227461,0.00113448,0.9994483,3.806618,-0.7410483,-0.6706594,0.03415772
Trial Load,1772793985153,12.23722,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.1219513,-0.07544477,0.03242679,0.1470222,0.02704052,0.2099491,0.1205816,0.9698713,28.20032,0.1109957,0.8617973,0.4949625,0.2,0,0,0.2,-0.6338937,0.5664347,-0.3617789,0.3826834,135,-0.6861216,0.6131045,-0.3915867
Release,1772793985165,12.23722,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.138109,-0.2759853,0.04944846,0.3125494,0.6416475,0.7086887,0.1852354,0.2274575,153.7051,0.658919,0.7277648,0.1902215,0.2,0,0,0.2,-0.6338937,0.5664347,-0.3617789,0.3826834,135,-0.6861216,0.6131045,-0.3915867
Trial Start,1772793986526,0,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.138109,-0.2759853,0.04944846,0.3125494,0.6416475,0.7086887,0.1852354,0.2274575,153.7051,0.658919,0.7277648,0.1902215,0.2,0,0,0.2,-0.6338937,0.5664347,-0.3617789,0.3826834,135,-0.6861216,0.6131045,-0.3915867
Grab,1772793986526,0,2,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0.138109,-0.2759853,0.04944846,0.3125494,0.6416475,0.7086887,0.1852354,0.2274575,153.7051,0.658919,0.7277648,0.1902215,0.2,0,0,0.2,-0.6338937,0.5664347,-0.3617789,0.3826834,135,-0.6861216,0.6131045,-0.3915867
Release,1772793987734,1.208144,2,0.02970402,1.092531,0.2378104,1.118508,-0.6790516,0.314943,0.1247507,0.6512581,98.72694,-0.8948357,0.4150233,0.1643931,0.1405106,-0.06971535,0.03441104,0.1605851,0.3712391,0.51289,0.6365831,0.4403264,127.7506,0.4134813,0.5712502,0.7090179,0.07029598,0.007468939,0.06218956,0.09415334,-0.3375695,-0.07637351,-0.4683495,0.8129347,71.23269,-0.5796629,-0.131146,-0.8042338
Grab,1772793988998,2.472544,2,0.02970402,1.092531,0.2378104,1.118508,-0.6790516,0.314943,0.1247507,0.6512581,98.72694,-0.8948357,0.4150233,0.1643931,0.1405106,-0.06971535,0.03441104,0.1605851,0.3712391,0.51289,0.6365831,0.4403264,127.7506,0.4134813,0.5712502,0.7090179,0.07029598,0.007468939,0.06218956,0.09415334,-0.3375695,-0.07637351,-0.4683495,0.8129347,71.23269,-0.5796629,-0.131146,-0.8042338
Release,1772793990693,4.166622,2,0.08129482,1.097899,0.2536143,1.129739,-0.7937823,0.255213,-0.3540052,0.4236228,129.873,-0.8762954,0.2817422,-0.3908038,0.1257587,-0.07116576,0.02685836,0.1469734,-0.0764892,0.4099614,0.690603,0.5908881,107.5599,-0.0948111,0.5081618,0.8560271,0.01870518,0.002101421,0.04638568,0.05005927,0.1434256,0.07951687,-0.3056338,0.9379202,40.58971,0.4135074,0.2292534,-0.8811662
Grab,1772793992068,5.541704,2,0.08129482,1.097899,0.2536143,1.129739,-0.7937823,0.255213,-0.3540052,0.4236228,129.873,-0.8762954,0.2817422,-0.3908038,0.1257587,-0.07116576,0.02685836,0.1469734,-0.0764892,0.4099614,0.690603,0.5908881,107.5599,-0.0948111,0.5081618,0.8560271,0.01870518,0.002101421,0.04638568,0.05005927,0.1434256,0.07951687,-0.3056338,0.9379202,40.58971,0.4135074,0.2292534,-0.8811662
On Target,1772793994553,8.041404,2,0.1044839,1.095048,0.302127,1.140757,-0.5888584,0.6163808,-0.3881266,0.3502544,138.9942,-0.6286826,0.6580662,-0.4143754,0.1236872,-0.08318543,0.03369949,0.1528202,-0.4234258,0.7450448,0.4344524,-0.2772548,212.1929,-0.4407029,0.7754449,0.4521794,-0.004483916,0.004952073,-0.002126962,0.007010884,0.0001770916,-0.00448799,0.07898507,0.9968657,9.075028,0.0022385,-0.05672976,0.9983989
Off Target,1772793994665,8.152829,2,0.1032917,1.094586,0.3011153,1.139938,-0.6784432,0.4988911,-0.3475706,0.4123315,131.2972,-0.7446959,0.5476098,-0.3815123,0.1219866,-0.08798747,0.02902932,0.1531836,-0.4088799,0.7405574,0.5205179,-0.1159874,193.3212,-0.4116583,0.7455897,0.5240549,-0.003291689,0.005413532,-0.001115292,0.00643315,0.01464242,0.01751789,-0.08421314,0.9961863,10.01125,0.1678146,0.2007699,-0.9651542
