Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772867425807,0.0148826,0.2124775,0.8080887,0.1429642,0.8476985,-0.6703771,-0.4201866,-0.561403,0.2426202,151.9175,-0.6910239,-0.4331279,-0.5786935,0.007810231,0.9836324,0.3058043,1.030102,-0.08598589,0.5540572,-0.6707103,0.4855663,121.9008,-0.09835953,0.6337878,-0.7672276,0.1991059,0.9032419,0.2349107,0.9542915,0.1820549,0.8979158,0.269384,0.9549683,0.1570361,0.8810397,0.2506232,0.9293564,0.08237725,1.093375,0.281925,1.132138,0.1044965,1.123122,0.3161337,1.171436,0.1282384,1.109085,0.3180602,1.160895,0.1154194,-0.04805718,0.04534285,0.1329929,0.1465647,-0.05443953,0.02305504,0.1580393,0.1232943,-0.06916811,0.0005991161,0.1413721,-0.1101457,0.07058985,-0.03254245,0.134811,-0.158178,0.057152,-0.02501394,0.1700362,-0.1607074,0.06756103,0.0004747212,0.1743318,0.1151502,-0.04862984,0.04558817,0.1330515,0.1452311,-0.05516777,0.0229913,0.1570483,0.1239169,-0.06916931,0.0004816954,0.1419156,-0.1100955,0.07082146,-0.03299119,0.1350004,-0.1584084,0.05725005,-0.02520783,0.1703121,-0.1610021,0.06768598,0.0001522555,0.1746514,0.1245581,-0.05752582,0.02435789,0.1393457,-0.08306977,0.9701484,-0.2164177,0.07123803,171.8298,-0.08328136,0.9726195,-0.2169689,-0.1315295,0.0678445,-0.02273764,0.1497327,-0.0996087,-0.466512,0.2360144,0.8466061,64.31114,-0.187157,-0.8765398,0.4434528,-0.09944703,1.100341,0.2997803,1.144774,-0.006006751,0.01013501,0.005339687,0.9999164,1.482499,-0.4643024,0.7834035,0.4127406,0.2299835,-0.3926254,0.0216248,0.4555379,0.6703771,0.4201866,0.561403,0.2426202,151.9175,0.6910239,0.4331279,0.5786935,-0.02905189,-0.04520068,-0.1493688,0.1587393,0.08598589,-0.5540572,0.6707103,0.4855663,121.9008,0.09835953,-0.6337878,0.7672276,0.199447,-0.0003405809,0.0002197325,0.1994475,0.1017736,0.8117867,-0.4243221,0.3880663,134.3315,0.1104276,0.8808148,-0.4604032,-0.007291548,1.091548,-0.01934412,1.091744,-0.1338547,-0.05522662,-0.03089273,0.9889786,17.02889,-0.9040651,-0.3730048,-0.2086518,True,True,False,False
1772867425820,0.0300099,-0.03370205,0.9825372,0.2600181,1.016919,-0.5076144,-0.467799,-0.7210829,-0.05942256,186.8133,-0.5085131,-0.4686271,-0.7223595,-0.2162064,0.6319347,0.1385209,0.6821105,0.4839192,0.4046692,-0.6765842,0.3798668,135.3491,0.5231326,0.4374608,-0.7314099,-0.07383308,1.109419,0.2907169,1.149251,-0.1153884,1.110187,0.3244492,1.162367,-0.1298644,1.097934,0.295262,1.144335,-0.1184063,0.6529883,0.2305897,0.7025563,-0.1142791,0.6395369,0.2469919,0.6950339,-0.1117518,0.6153468,0.2344094,0.6678981,0.1110653,-0.06351029,0.04777806,0.1365716,0.1541618,-0.05531923,0.01710375,0.1646773,0.1344617,-0.07560164,-0.003197115,0.1542912,-0.1149409,0.0639267,-0.03444915,0.1359587,-0.1300813,0.06987709,-0.02022341,0.14904,-0.1156276,0.0837164,-0.001530245,0.1427604,0.1148009,-0.04990232,0.04577544,0.1332849,0.1459948,-0.05518072,0.02248783,0.1576867,0.1248187,-0.06971937,0.0001671065,0.1429703,-0.1105098,0.07023187,-0.03311587,0.1350615,-0.155986,0.05832984,-0.0247816,0.1683691,-0.157122,0.0690568,8.378577E-06,0.171628,0.1249021,-0.0581182,0.02454409,0.139931,-0.1025681,0.9690356,-0.2100061,0.07967,170.8608,-0.1028952,0.9721256,-0.2106758,-0.1309315,0.06796017,-0.02252103,0.1492274,-0.1077537,-0.4458891,0.2304265,0.8581817,61.77394,-0.2099045,-0.8685935,0.4488716,-0.09792135,1.101131,0.2993652,1.145294,-0.01394856,0.02603848,0.01008158,0.9995128,3.577195,-0.4468998,0.8342504,0.3230052,0.1243402,-0.06177785,0.02245205,0.1406452,0.5031187,0.4601158,0.72866,-0.06495999,187.4491,0.5041836,0.4610896,0.7302023,-0.2408708,-0.1030854,-0.436344,0.5089611,-0.4951785,-0.4022655,0.6712208,0.3774168,135.6525,-0.5347249,-0.4343917,0.7248265,0.1979214,-0.001131058,0.0006348491,0.1979256,0.09427118,0.8025769,-0.4341811,0.3980831,133.0832,0.1027648,0.8748869,-0.4732997,-0.00739139,1.091604,-0.01958125,1.091805,-0.1341845,-0.05500311,-0.03084251,0.9889479,17.05259,-0.905042,-0.3709826,-0.2080252,True,True,False,False
1772867425833,0.0410913,-0.03309041,0.982905,0.2595473,1.017134,-0.5131924,-0.4613996,-0.7210809,-0.06153323,187.0556,-0.5141667,-0.4622756,-0.7224499,-0.2164678,0.6320938,0.1385368,0.682344,0.48339,0.4049329,-0.6768274,0.3798262,135.3542,0.5225511,0.437738,-0.7316596,-0.07266547,1.109499,0.291416,1.149431,-0.1121427,1.1113,0.3240227,1.162993,-0.1262112,1.09894,0.2947853,1.14477,-0.1185768,0.6532639,0.2304844,0.7028067,-0.1144085,0.6397794,0.2468972,0.6952447,-0.1118814,0.6155837,0.2343199,0.6681067,0.111392,-0.06374526,0.04621824,0.1364102,0.1530699,-0.0562016,0.01739229,0.1639863,0.1326932,-0.07591391,-0.002650432,0.1528968,-0.1149445,0.06389804,-0.03449612,0.1359603,-0.1300963,0.06987503,-0.02023822,0.1490542,-0.1156463,0.08371893,-0.001541864,0.1427771,0.114505,-0.05110386,0.04581387,0.1334987,0.1466089,-0.05526933,0.02204555,0.1582242,0.1255022,-0.07025704,-7.744935E-05,0.1438292,-0.1108948,0.06968211,-0.03323567,0.1351216,-0.1537389,0.05933193,-0.02438724,0.1665853,-0.153522,0.07032944,-0.0001261789,0.1688646,0.1251722,-0.05872587,0.02463217,0.1404406,-0.1182967,0.9677526,-0.2048786,0.08651876,170.0733,-0.1187419,0.9713952,-0.2056497,-0.130358,0.06810787,-0.0222704,0.1487544,-0.116346,-0.4239992,0.2244914,0.8696504,59.16392,-0.2356765,-0.8588752,0.4547416,-0.09550797,1.102333,0.2985646,1.146037,-0.008718722,0.03607896,0.009553178,0.9992653,4.392839,-0.2274919,0.9413847,0.2492648,0.1238801,-0.06293154,0.02143015,0.1405913,0.4996764,0.4443408,0.7399079,-0.07362874,188.4449,0.5010363,0.4455501,0.7419217,-0.2411881,-0.1016254,-0.4375106,0.5098186,-0.5101584,-0.399413,0.662092,0.3766189,135.7512,-0.5507081,-0.4311601,0.7147179,0.195508,-0.002333283,0.001435429,0.1955272,0.08849519,0.8006523,-0.4306847,0.4069832,131.9691,0.0968817,0.8765284,-0.4714997,-0.007497186,1.091677,-0.0198278,1.091883,-0.1343351,-0.05492337,-0.03026026,0.9889499,17.05107,-0.9061386,-0.3704779,-0.2041163,True,True,False,False
1772867425848,0.055231,-0.0318682,0.9832982,0.2589136,1.017314,-0.5187521,-0.4547975,-0.7211348,-0.0634044,187.2705,-0.519798,-0.4557145,-0.7225888,-0.2167643,0.6323241,0.1384962,0.6826432,0.4829025,0.4051437,-0.6770395,0.3798435,135.352,0.5220282,0.4379692,-0.7318945,-0.07028096,1.109829,0.2919976,1.149749,-0.1082958,1.112493,0.3235593,1.16364,-0.1222582,1.100278,0.2939277,1.145405,-0.1188081,0.6535216,0.2303612,0.7030449,-0.1145925,0.6401004,0.2467414,0.6955152,-0.1120661,0.6159036,0.2341757,0.6683819,0.1115495,-0.06390496,0.04530979,0.1363089,0.1520929,-0.05712771,0.01776592,0.1634364,0.1310869,-0.07676139,-0.002119977,0.1519229,-0.1149562,0.06389424,-0.03444609,0.1359556,-0.1300901,0.0698774,-0.02025537,0.1490522,-0.1156478,0.08372027,-0.001558874,0.1427793,0.1143126,-0.05193713,0.04578106,0.1336441,0.1469659,-0.0553903,0.02176697,0.1585587,0.1258657,-0.07068043,-0.0002104061,0.1443535,-0.1111591,0.06930535,-0.03331446,0.1351645,-0.1521995,0.06001838,-0.02411828,0.1653741,-0.1510566,0.07120111,-0.000219439,0.1669962,0.1253222,-0.05919217,0.02465048,0.1407729,-0.1278798,0.9667627,-0.2020767,0.0904523,169.6207,-0.1284061,0.970742,-0.2029084,-0.1299481,0.06823716,-0.02206496,0.148424,-0.1228551,-0.4073068,0.2199235,0.8778619,57.22897,-0.2565286,-0.8504803,0.4592131,-0.08948581,1.105012,0.2962389,1.147526,-0.006469252,0.02390141,0.02087292,0.9994755,3.711869,-0.1997536,0.738013,0.6445014,0.1233086,-0.06442744,0.0208729,0.1406825,0.4972507,0.4409327,0.7426806,-0.08213271,189.4223,0.4989364,0.4424275,0.7451983,-0.2414805,-0.09936423,-0.4393717,0.5111101,-0.5141568,-0.3924314,0.6592159,0.3835034,134.8983,-0.5567242,-0.4249211,0.7137929,0.1894858,-0.005011797,0.003761142,0.1895894,0.08347101,0.8076441,-0.4319488,0.3926372,133.7626,0.09075958,0.8781665,-0.4696659,-0.007594815,1.091754,-0.02008658,1.091965,-0.1349055,-0.0551285,-0.02930286,0.9888896,17.09758,-0.9075286,-0.3708571,-0.1971244,True,True,False,False
1772867425861,0.06928241,-0.0286993,0.9848384,0.2583168,1.018557,-0.5238389,-0.4491337,-0.7208894,-0.06473243,187.423,-0.5249399,-0.4500776,-0.7224045,-0.2175829,0.632794,0.1383193,0.6833028,0.4824778,0.4053043,-0.6772289,0.3798741,135.3482,0.5215761,0.4381488,-0.7321092,-0.06516883,1.111793,0.2923634,1.151437,-0.1025214,1.115032,0.3213252,1.164928,-0.1160235,1.102578,0.2909075,1.146196,-0.1195358,0.65413,0.2300611,0.7036355,-0.1152882,0.6406879,0.2465423,0.6961002,-0.1127572,0.6164581,0.2338172,0.6688836,0.1114702,-0.06407307,0.04556086,0.1364066,0.1500262,-0.05934982,0.01843855,0.1623891,0.1277775,-0.07887751,-0.001216665,0.1501674,-0.1149383,0.06389112,-0.0345271,0.1359596,-0.1301688,0.06987792,-0.02029512,0.1491266,-0.1155662,0.08376749,-0.00160649,0.1427414,0.1140807,-0.05292735,0.04576309,0.1338281,0.1472156,-0.05571337,0.0214954,0.1588662,0.1260217,-0.07134926,-0.0002925102,0.1448181,-0.1114675,0.06886359,-0.0334134,0.135217,-0.1504019,0.06082285,-0.02380634,0.1639722,-0.1481608,0.07222644,-0.0003326133,0.1648284,0.1253756,-0.05986537,0.02466345,0.141107,-0.1370168,0.9656977,-0.2001127,0.09278619,169.3522,-0.1376104,0.9698818,-0.2009797,-0.1294387,0.06842362,-0.02179466,0.1480242,-0.1311917,-0.3856967,0.2139526,0.8878351,54.79509,-0.2850991,-0.8381764,0.4649509,-0.08656802,1.106067,0.2948624,1.147964,-0.006585309,0.0145376,0.03437623,0.9992816,4.343915,-0.1737619,0.3835934,0.9070615,0.1211156,-0.06648472,0.02203481,0.1399097,0.5161274,0.4317533,0.7345862,-0.08709163,189.9926,0.518096,0.4334,0.737388,-0.2415992,-0.09358513,-0.4440818,0.5141371,-0.5093289,-0.3903227,0.6706489,0.3721052,136.309,-0.5487332,-0.42052,0.7225337,0.186568,-0.006066918,0.005137563,0.1867373,0.0763516,0.8124799,-0.4361185,0.3792726,135.4227,0.08251684,0.8780861,-0.4713342,-0.007652406,1.091835,-0.02036534,1.092052,-0.1353891,-0.05547766,-0.02838112,0.9888309,17.14278,-0.9083977,-0.3722293,-0.1904242,True,True,False,False
1772867425876,0.0823684,-0.02786907,0.9853226,0.2577605,1.018861,-0.5273433,-0.4458306,-0.7203343,-0.06528873,187.4869,-0.5284709,-0.4467838,-0.7218745,-0.2179127,0.6331865,0.1380733,0.6837217,0.4821981,0.4053813,-0.6773548,0.3799228,135.3422,0.5212851,0.4382415,-0.7322611,-0.06219624,1.112852,0.2924453,1.152316,-0.1000601,1.115668,0.3200812,1.16498,-0.1132246,1.103093,0.2889746,1.145924,-0.1198204,0.6545751,0.2297495,0.703996,-0.1155621,0.64118,0.2463966,0.696547,-0.1129979,0.6169137,0.2336042,0.6692697,0.1112356,-0.06399181,0.04665796,0.1365477,0.1486931,-0.0602534,0.0185814,0.1615097,0.1255063,-0.07985802,-0.0008371957,0.148761,-0.1149306,0.06389497,-0.03453234,0.1359562,-0.1303242,0.06983432,-0.02030382,0.149243,-0.1156562,0.08378024,-0.001610633,0.1428218,0.1138498,-0.05382495,0.04583568,0.1340143,0.1473355,-0.05608169,0.021259,0.1590749,0.1259799,-0.07203954,-0.0003366979,0.1451232,-0.1117484,0.06846051,-0.03350418,0.1352667,-0.1487731,0.06155391,-0.02352219,0.1627133,-0.1455239,0.07316375,-0.0004362929,0.1628813,0.1253279,-0.06052836,0.02470791,0.1413551,-0.1445952,0.9648381,-0.1987087,0.09324479,169.2994,-0.1452279,0.9690601,-0.1995782,-0.1289419,0.06863078,-0.02151377,0.147645,-0.1395165,-0.3639542,0.2078817,0.8971387,52.43106,-0.3158276,-0.8238937,0.4705877,-0.08141658,1.107387,0.2918003,1.148077,0.004196896,-0.01184707,0.06068067,0.9980781,7.105616,0.06772633,-0.191179,0.9792187,0.1197112,-0.06741006,0.02294404,0.1392886,0.5322485,0.4216894,0.7281746,-0.09301279,190.6739,0.5345659,0.4235255,0.7313451,-0.2415772,-0.09065463,-0.4459509,0.5152184,-0.5081362,-0.3874513,0.6802489,0.3590828,137.9122,-0.5444479,-0.4151387,0.7288598,0.1814166,-0.007386923,0.008199751,0.181752,0.06157147,0.8289242,-0.4340162,0.3474529,139.3368,0.06566241,0.8839996,-0.4628531,-0.007691409,1.091889,-0.02067822,1.092112,-0.1356235,-0.05584346,-0.0276069,0.9888001,17.16646,-0.9087242,-0.3741705,-0.1849758,True,True,False,False
1772867425890,0.0975375,-0.02641709,0.9856749,0.2569144,1.018949,-0.5318344,-0.4423419,-0.719169,-0.06543535,187.5037,-0.5329767,-0.443292,-0.7207137,-0.2188855,0.6345693,0.1375121,0.6851997,0.4818746,0.405463,-0.6775249,0.3799428,135.3397,0.5209399,0.4383337,-0.7324515,-0.05797319,1.113844,0.2925313,1.153076,-0.09633894,1.115461,0.3165638,1.163506,-0.1090604,1.103102,0.2847735,1.144476,-0.1206466,0.656417,0.2289866,0.7056017,-0.1164335,0.6426703,0.2458869,0.6978841,-0.1139404,0.6183463,0.2328489,0.6704873,0.1109858,-0.06365249,0.04819002,0.1367178,0.145225,-0.06209986,0.01856954,0.159033,0.1211853,-0.0819106,-0.0002669804,0.1462713,-0.1148774,0.06384626,-0.03496582,0.1359992,-0.1304543,0.06982261,-0.02033749,0.1493557,-0.1155213,0.08377317,-0.001622591,0.1427086,0.1136323,-0.0545716,0.04601455,0.1341927,0.1471751,-0.05653892,0.02105467,0.1590612,0.1256156,-0.07278949,-0.0003314011,0.1451816,-0.1119862,0.06810994,-0.03361522,0.1353139,-0.1473814,0.06218212,-0.02328024,0.1616473,-0.1432444,0.0739698,-0.0005264219,0.1612165,0.1250951,-0.06119358,0.02477063,0.1414462,-0.150149,0.9643028,-0.1985011,0.09040262,169.6265,-0.1507663,0.9682676,-0.1993172,-0.1284738,0.06883899,-0.0212629,0.1472971,-0.1471379,-0.3433092,0.2020646,0.9053503,50.25898,-0.3464796,-0.8084226,0.4758206,-0.07915041,1.107618,0.2908232,1.147894,0.003528039,-0.01778867,0.07641745,0.996911,9.009261,0.04492046,-0.2264927,0.9729786,0.1168037,-0.06911716,0.02520929,0.1380427,0.5658993,0.4130132,0.705659,-0.1059408,192.1628,0.569102,0.4153506,0.7096527,-0.2408857,-0.0846274,-0.4484098,0.516003,-0.495931,-0.377101,0.7066885,0.3353188,140.8161,-0.5264075,-0.400275,0.7501166,0.1791504,-0.007617593,0.00917685,0.179547,0.05130754,0.8316659,-0.4394574,0.3355245,140.7911,0.05446478,0.882843,-0.4664996,-0.007657565,1.091906,-0.02107746,1.092136,-0.135369,-0.05608135,-0.02721253,0.9888325,17.14159,-0.9083251,-0.3763056,-0.1825959,True,True,False,False
1772867425902,0.1106433,-0.02618276,0.9859187,0.2558925,1.018922,-0.5361734,-0.4398558,-0.7175067,-0.0650322,187.4574,-0.5373108,-0.4407889,-0.7190288,-0.2194674,0.6349763,0.1373885,0.6857378,0.481608,0.4055484,-0.6776742,0.3799236,135.3421,0.5206472,0.4384222,-0.7326065,-0.05600784,1.114403,0.2920012,1.153384,-0.09453925,1.115581,0.3153611,1.163147,-0.1061372,1.102133,0.2829221,1.142806,-0.121145,0.6570536,0.2287492,0.7062023,-0.1169119,0.6431558,0.2458734,0.6984064,-0.1144273,0.6187892,0.2327556,0.6709462,0.110735,-0.06365564,0.04886027,0.1367538,0.1440891,-0.06257283,0.01856055,0.1581819,0.1182188,-0.08156774,0.0001868829,0.1436281,-0.1148601,0.06381099,-0.03516822,0.1360202,-0.1306347,0.06981258,-0.02035432,0.1495109,-0.1156158,0.08378968,-0.001617908,0.1427947,0.1133801,-0.05536206,0.04626218,0.1343883,0.1469066,-0.05706397,0.02083764,0.1589718,0.124972,-0.07355335,-0.0002863018,0.1450109,-0.1122362,0.06773587,-0.03375036,0.1353669,-0.1459241,0.0628461,-0.02302563,0.1605418,-0.1408403,0.07482429,-0.0006213994,0.1594837,0.1247496,-0.06190068,0.02485296,0.1414632,-0.1547411,0.9642162,-0.1975847,0.0854563,170.1955,-0.1553092,0.9677563,-0.1983101,-0.1279374,0.06909396,-0.02097858,0.1469083,-0.155736,-0.3196262,0.1952708,0.9140322,47.86269,-0.3839249,-0.7879518,0.4813872,-0.07717962,1.1077,0.2900654,1.147647,0.001928888,-0.02289617,0.08364359,0.9962308,9.952367,0.02223713,-0.2639578,0.9642828,0.1157029,-0.06913508,0.0258754,0.1372456,0.5806639,0.4012123,0.6992311,-0.1137285,193.0606,0.5844559,0.4038325,0.7037975,-0.2409018,-0.08184946,-0.4493194,0.5163534,-0.497716,-0.3718598,0.7146116,0.3214489,142.4989,-0.5256118,-0.3927017,0.7546639,0.1771796,-0.007699609,0.009934604,0.1776249,0.04806379,0.8331795,-0.4426951,0.3279069,141.7164,0.05087676,0.881942,-0.4686042,-0.007598491,1.09192,-0.02140348,1.092157,-0.1356905,-0.05612608,-0.02688871,0.9887947,17.17062,-0.9089554,-0.3759742,-0.1801205,True,True,False,False
1772867425918,0.1244152,-0.02553806,0.9859964,0.2554473,1.018869,-0.5397846,-0.4382441,-0.7158426,-0.06437536,187.382,-0.5409065,-0.439155,-0.7173305,-0.2204049,0.6353029,0.1372034,0.6863038,0.4814024,0.4056402,-0.677801,0.3798598,135.35,0.5204103,0.438509,-0.732723,-0.05403743,1.114743,0.2915471,1.153504,-0.09262067,1.115532,0.3144965,1.162712,-0.1038594,1.101722,0.2816744,1.141892,-0.1220423,0.6574776,0.2284977,0.7066698,-0.1177163,0.643557,0.2460023,0.6989563,-0.1152745,0.6191486,0.232631,0.6713794,0.1102945,-0.06392378,0.04939577,0.1367152,0.1429608,-0.06310765,0.01860276,0.1573735,0.1162373,-0.08187239,0.0004900135,0.1421775,-0.1148561,0.06377618,-0.03524546,0.1360205,-0.1310148,0.06979194,-0.02035871,0.1498342,-0.1157375,0.08379731,-0.001624428,0.1428978,0.1131454,-0.05601345,0.04650059,0.1345425,0.1466064,-0.05752378,0.02066761,0.1588382,0.1243074,-0.07418627,-0.0002272388,0.1447618,-0.1124356,0.06743461,-0.03386411,0.1354103,-0.1447898,0.06337455,-0.02282273,0.1596912,-0.1389304,0.07550696,-0.000697711,0.1581248,0.1243955,-0.06249461,0.02493117,0.1414262,-0.157959,0.9643196,-0.1966261,0.080467,170.7692,-0.1584729,0.9674568,-0.1972658,-0.1274788,0.06932261,-0.02073816,0.1465829,-0.162976,-0.2994362,0.1892519,0.9208477,45.89934,-0.4179705,-0.7679382,0.4853578,-0.07388011,1.107903,0.2889496,1.147344,-0.001516006,-0.0237169,0.08464038,0.9961281,10.08713,-0.01724439,-0.2697769,0.9627743,0.1147163,-0.069493,0.02622696,0.1366637,0.5906722,0.3942975,0.6945556,-0.1150154,193.209,0.5946182,0.3969316,0.6991956,-0.2411317,-0.0790703,-0.450158,0.516758,-0.4972654,-0.371235,0.7188238,0.3133753,143.4745,-0.5236415,-0.3909262,0.7569519,0.1738801,-0.007902861,0.01105043,0.17441,0.04889764,0.8320832,-0.4457619,0.3264093,141.8981,0.05173102,0.8802985,-0.4715917,-0.00744893,1.092059,-0.02173045,1.0923,-0.1356797,-0.05623821,-0.02672929,0.9887941,17.17103,-0.9088611,-0.3767161,-0.1790483,True,True,False,False
1772867425931,0.1391239,-0.02377647,0.9861469,0.2546091,1.018762,-0.5435853,-0.4370101,-0.7138087,-0.06335963,187.2654,-0.5446796,-0.4378899,-0.7152458,-0.2221248,0.6356453,0.1366381,0.6870621,0.4812161,0.4057597,-0.6779308,0.3797366,135.3653,0.5201804,0.4386142,-0.7328232,-0.05176493,1.114894,0.2905445,1.153293,-0.08963424,1.115725,0.3140091,1.162531,-0.1002966,1.101095,0.2804669,1.140671,-0.123785,0.658037,0.2278907,0.7072974,-0.1192819,0.6439481,0.2458318,0.6995217,-0.1169123,0.6194755,0.2318378,0.6716898,0.1099341,-0.06440857,0.0491576,0.1365666,0.1424997,-0.06322657,0.01876927,0.1570224,0.1143287,-0.0816401,0.0008765981,0.1404882,-0.1148779,0.06362189,-0.03541845,0.1360116,-0.1314794,0.06977202,-0.0203445,0.1502294,-0.1155819,0.08385815,-0.001657542,0.142808,0.1128896,-0.05668204,0.04671219,0.1346809,0.1462793,-0.05797795,0.02051642,0.1586821,0.1235127,-0.07477989,-0.0001393292,0.1443864,-0.1126301,0.06713096,-0.0339879,0.1354521,-0.1437297,0.06388404,-0.02262536,0.1589066,-0.137071,0.07617205,-0.0007741519,0.1568159,0.1240104,-0.0630843,0.02498399,0.1413592,-0.1604592,0.9646605,-0.1951647,0.07479197,171.4215,-0.1609098,0.9673699,-0.1957128,-0.1270054,0.06956113,-0.0205013,0.1462512,-0.1703639,-0.2785752,0.1827418,0.9273497,43.94925,-0.4552799,-0.7444636,0.4883586,-0.07263147,1.107966,0.2886925,1.147261,-0.003447681,-0.02201551,0.0854068,0.996097,10.12768,-0.03906033,-0.2494236,0.9676121,0.1136992,-0.06975558,0.02684772,0.1360667,0.5954947,0.3897293,0.6934525,-0.1123428,192.9008,0.5992884,0.3922122,0.6978703,-0.2418748,-0.0744634,-0.4518344,0.5178828,-0.4981939,-0.3734922,0.7182449,0.3105331,143.8173,-0.5241042,-0.3929171,0.7555998,0.1726315,-0.00796628,0.01130754,0.1731847,0.04829852,0.8306853,-0.4478055,0.3272606,141.7948,0.05111311,0.8790934,-0.4739013,-0.007324424,1.092146,-0.02202644,1.092392,-0.1359733,-0.05614273,-0.02666706,0.9887609,17.1965,-0.9094891,-0.3755237,-0.1783688,True,True,False,False
