Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772944227603,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0.2323355,0.7804859,0.4363662,0.3826834,135,0.2514782,0.8447919,0.4723193
Trial Start,1772944230536,0,1,-0.09791844,1.099952,0.3046819,1.145563,0.1161168,-0.00942117,-0.1553753,0.9809622,22.39587,0.5979272,-0.04851298,-0.8000834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1979184,4.804134E-05,-0.004681915,0.1979738,0.3006336,0.6824638,0.5803347,0.3272224,141.7995,0.3181485,0.7222241,0.6141449
Grab,1772944230538,0,1,-0.09791844,1.099952,0.3046819,1.145563,0.1161168,-0.00942117,-0.1553753,0.9809622,22.39587,0.5979272,-0.04851298,-0.8000834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1979184,4.804134E-05,-0.004681915,0.1979738,0.3006336,0.6824638,0.5803347,0.3272224,141.7995,0.3181485,0.7222241,0.6141449
Release,1772944231229,0.6922296,1,-0.07348037,1.07752,0.2954296,1.1197,0.7723877,-0.4195852,-0.2617403,0.3985695,133.0224,0.8421715,-0.457494,-0.2853881,0.1333071,-0.07149792,0.02083795,0.1526989,0.2623447,0.6165137,-0.7419986,-0.02289983,182.6244,0.2624135,0.6166755,-0.7421932,-0.01843867,-0.09540796,0.2407831,0.259652,0.7805369,-0.4596665,-0.3533567,0.2336835,152.9719,0.8027633,-0.4727559,-0.3634188,0.1734804,0.02248013,0.004570365,0.1749905,-0.1817863,0.07379072,0.9744082,-0.1097159,192.5979,-0.1828904,0.0742389,0.9803264
Grab,1772944232507,1.971736,1,-0.0631234,1.07842,0.2987427,1.120812,0.8580215,-0.3370962,-0.2733681,0.2746546,148.1171,0.8923382,-0.3505784,-0.2843015,0.1195074,-0.05516432,0.02575442,0.1341209,0.09322125,0.01166565,-0.924459,-0.3695259,223.3728,0.100322,0.01255424,-0.9948758,-0.1885896,0.1615198,0.07839312,0.2603846,-0.8287427,-0.2889691,-0.3002676,-0.3735265,223.8665,-0.8934079,-0.3115168,-0.3236969,0.1631234,0.02158046,0.001257271,0.1645495,-0.198276,-0.0945595,0.9724566,-0.07793284,188.9395,-0.1988809,-0.09484797,0.9754232
Release,1772944232717,2.180496,1,-0.03362025,1.075337,0.3033818,1.11782,0.9854558,-0.04966161,-0.0175495,0.1615632,161.4047,0.9985748,-0.05032273,-0.01778313,0.1177335,-0.0747319,0.05676796,0.1505611,0.3342462,-0.1244693,-0.7179288,-0.5978004,253.425,0.4169503,-0.1552673,-0.8955694,-0.1975918,0.1838684,0.0880279,0.2838996,-0.6918396,-0.581991,-0.3709639,-0.2122038,204.5031,-0.7079631,-0.5955544,-0.3796093,0.1336203,0.02466297,-0.003381789,0.1359194,-0.3475542,-0.2889944,0.8578892,0.2443658,151.7113,-0.3584204,-0.2980298,0.8847108
Grab,1772944233425,2.889112,1,-0.02520964,1.078935,0.3029424,1.120942,0.9194239,0.1215943,0.3738149,0.01170785,178.6584,0.9194869,0.1216027,0.3738405,0.1127661,-0.06121588,0.01824492,0.1296011,0.4562341,-0.3135532,-0.4385859,-0.7079387,270.1349,0.6459733,-0.4439542,-0.6209856,-0.2057642,0.1967927,0.06984996,0.2931643,-0.384843,-0.8235155,-0.4015541,0.1116798,167.1757,-0.3872656,-0.8286996,-0.4040819,0.1252096,0.02106524,-0.002942353,0.1270034,-0.5878258,-0.3517493,0.5514029,0.4761181,123.1357,-0.6684537,-0.3999963,0.6270349
Release,1772944233842,3.306505,1,0.00509879,1.048243,0.2871649,1.086877,0.5050535,-0.2418006,0.7962871,-0.2288678,206.4608,0.5188244,-0.2483936,0.8179988,0.1576133,-0.04506456,0.03147572,0.1669236,0.6747062,-0.5426357,-0.3876288,-0.3163257,216.8817,0.7112272,-0.572008,-0.4086107,-0.1943402,0.2399055,0.05946178,0.3144176,-0.3200113,-0.3974427,-0.4383922,0.7398949,84.55507,-0.4756958,-0.5907974,-0.6516687,0.09490121,0.05175722,0.01283512,0.1088567,-0.9734542,-0.1214775,0.04577003,0.1885087,158.2685,-0.9912252,-0.1236951,0.04660559
Grab,1772944234425,3.889563,1,-0.003468137,1.034817,0.2797477,1.071968,0.4900793,-0.5876356,0.6118828,-0.2002651,203.1049,0.5002127,-0.5997862,0.6245348,0.1208958,-0.06371204,0.01475632,0.137451,0.2396457,-0.7634523,-0.5252638,0.2894973,146.3443,0.2503667,-0.7976068,-0.5487624,-0.183741,0.2317038,0.03104687,0.2973404,-0.6440794,-0.2114267,-0.3978798,0.6181846,103.6326,-0.8194051,-0.2689794,-0.5061871,0.1034681,0.0651834,0.02025232,0.1239544,-0.9680641,-0.003117571,0.1974823,-0.1544117,197.7654,-0.9798154,-0.003155415,0.1998796
Release,1772944234815,4.279051,1,0.0139648,1.03709,0.2737654,1.072706,-0.04538164,-0.5293294,0.1168948,-0.8390986,294.0901,-0.08342531,-0.9730691,0.2148883,0.1034637,-0.06426595,0.02816417,0.1250123,-0.326909,-0.7504007,-0.5191759,0.2459389,151.5253,-0.3372681,-0.7741793,-0.5356275,-0.2032852,0.2446795,0.0160782,0.3185144,-0.5241246,0.1798809,0.5276533,0.6438309,99.84385,-0.68498,0.2350868,0.6895916,0.0860352,0.06291008,0.02623457,0.1097633,-0.4998018,-0.4053772,-0.3233256,-0.6937781,267.8599,-0.6939871,-0.5628762,-0.4489456
Grab,1772944235953,5.418087,1,0.01408933,1.027098,0.2747755,1.063311,-0.0003265934,-0.5335714,0.3056435,-0.788596,284.109,-0.0005311226,-0.8677204,0.4970528,0.1185546,-0.04597467,0.02869349,0.130354,-0.1397347,-0.9288682,0.002588613,0.3430328,139.8765,-0.148761,-0.9888694,0.002755827,-0.2138126,0.2373459,-0.005867989,0.3195048,-0.5543616,0.1155338,0.4002874,0.7204896,87.81017,-0.7994072,0.1666035,0.5772274,0.08591067,0.07290161,0.02522454,0.1154624,-0.6544768,-0.3401448,-0.3373686,-0.584931,251.5962,-0.806917,-0.4193711,-0.4159482
Release,1772944236523,5.988995,1,0.01483679,1.022883,0.2445522,1.051815,0.1359033,-0.2883004,0.8777263,-0.3577844,221.9284,0.1455373,-0.3087375,0.9399468,0.1026515,-0.05090828,0.03626025,0.1201823,0.1675565,-0.9265266,0.03449835,0.3350868,140.8444,0.1778378,-0.9833784,0.03661517,-0.220054,0.2180624,-0.04873791,0.3136086,-0.2774165,-0.2073167,-0.1975407,0.917081,46.99399,-0.6958009,-0.5199804,-0.4954608,0.08516321,0.07711709,0.05544777,0.1275707,-0.9459916,-0.02429452,-0.3189633,0.05265266,173.9637,-0.9473056,-0.02432826,-0.3194063
Grab,1772944237134,6.600072,1,0.02589137,1.02702,0.2355359,1.054001,0.3533377,-0.3112152,0.8418233,-0.2638768,210.6005,0.3663215,-0.3226511,0.872757,0.1214893,-0.07576825,0.01334385,0.1438003,0.2545279,-0.9007015,-0.283104,0.2092958,155.8378,0.2602927,-0.9211016,-0.2895161,-0.2441358,0.2040514,-0.09033967,0.3307575,-0.4093044,-0.4041896,-0.2077034,0.7911763,75.40885,-0.6692484,-0.6608853,-0.3396132,0.07410863,0.07297981,0.06446415,0.1223674,-0.9893595,-0.04545441,-0.08921728,0.1055558,167.8816,-0.9949177,-0.04570977,-0.08971851
