Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772953330413,0.0132707,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09180047,1.058447,0.2908315,1.101508,0.1755599,0.2490774,-0.711553,0.6331126,101.4397,0.2268041,0.3217807,-0.9192482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1918005,0.04155314,0.009168535,0.1964641,-0.9143386,-0.2539794,0.3025663,-0.08906829,190.22,-0.9179871,-0.2549929,0.3037736,0.0002106382,0.9964308,-0.03480951,0.9970386,0.2267126,-0.04432549,0.003591897,-0.9729459,333.2842,0.9813004,-0.1918579,0.01554713,True,True,False,False
1772953330426,0.0329384,0.1535608,0.9371986,0.2370525,0.978834,-0.6368736,-0.6575285,0.2231078,0.3350691,140.8465,-0.6759478,-0.6978698,0.2367962,-0.2670445,0.6213569,0.2503008,0.7211433,0.5523846,0.3435737,-0.7542889,0.08875138,169.8164,0.554573,0.3449349,-0.7572773,0.07636293,1.040395,0.2759482,1.079073,0.09353048,1.08751,0.2798389,1.126826,0.1136134,1.079031,0.3061661,1.127366,-0.1635528,0.5744909,0.3217995,0.6784867,-0.1692664,0.5482246,0.3401545,0.667013,-0.1847552,0.5368398,0.3173564,0.6504203,0.1051832,-0.07191731,0.04343042,0.1346173,0.1529109,-0.0587038,0.03464227,0.1674156,0.1493788,-0.06460369,0.00116013,0.1627544,-0.1141602,0.05815407,-0.04005726,0.134235,-0.1348914,0.06715798,-0.01663463,0.1516001,-0.1115075,0.07730386,-0.001158159,0.1356877,0.1051832,-0.07191731,0.04343042,0.1346173,0.1529109,-0.0587038,0.03464227,0.1674156,0.1493788,-0.06460369,0.00116013,0.1627544,-0.1141602,0.05815407,-0.04005726,0.134235,-0.1348914,0.06715798,-0.01663463,0.1516001,-0.1115075,0.07730386,-0.001158159,0.1356877,0.1277539,-0.0671965,0.02867875,0.1471697,-0.1612581,0.9039614,-0.004964862,0.3960113,133.3419,-0.1756154,0.984444,-0.005406899,-0.1174381,0.06718308,-0.02065893,0.1368651,-0.2248318,0.04123218,0.04255516,0.9725943,26.88966,-0.9669815,0.1773359,0.1830259,0.0911976,1.058713,0.2916163,1.101921,0.1699048,0.2584862,-0.7184202,0.6230487,102.9218,0.2172187,0.3304677,-0.9184809,0.1258821,-0.07040412,0.02458942,0.1463136,0.0497422,0.9137482,-0.3364766,-0.2222016,205.6768,0.0510176,0.9371769,-0.3451039,-0.06306603,-0.1597952,-0.5403225,0.5669746,-0.2775459,-0.4560429,0.3371297,0.7754592,78.30666,-0.4395736,-0.7222748,0.5339417,-0.1911976,0.04128706,0.008383691,0.1957842,-0.9119359,-0.2459604,0.3134879,-0.09798954,191.2468,-0.9163458,-0.2471498,0.3150038,-0.000135229,0.9963787,-0.03470178,0.9969828,0.2265066,-0.04420562,0.00335222,-0.9730002,333.3112,0.9813799,-0.1915287,0.01452409,True,True,False,False
1772953330440,0.0414377,0.153027,0.9383825,0.2374647,0.9799839,-0.6359988,-0.6615714,0.2148376,0.334176,140.9551,-0.6747921,-0.7019246,0.2279418,-0.26609,0.6223706,0.2490903,0.7212455,0.5530773,0.3437096,-0.7537456,0.08852638,169.8423,0.5552573,0.3450644,-0.7567166,0.07536441,1.040966,0.2768055,1.079774,0.09238547,1.088402,0.2811458,1.127917,0.1107399,1.078491,0.3087052,1.127255,-0.1627966,0.5754094,0.3207881,0.6786042,-0.1685215,0.5490812,0.338995,0.6669387,-0.1839974,0.5378066,0.3160953,0.65039,0.1051883,-0.07198364,0.0430848,0.1345456,0.1532008,-0.05850092,0.03461653,0.1676042,0.1486858,-0.06621775,0.001229532,0.162769,-0.1142099,0.05805749,-0.04001122,0.1342217,-0.1348616,0.06716102,-0.01660028,0.1515712,-0.1113918,0.07726869,-0.001172364,0.1355727,0.1051838,-0.0719246,0.0433924,0.1346094,0.1529428,-0.05868149,0.03463944,0.1674363,0.1493026,-0.06478121,0.001167763,0.1627551,-0.1141657,0.05814345,-0.0400522,0.1342335,-0.1348881,0.06715832,-0.01663085,0.1515969,-0.1114947,0.07729999,-0.001159722,0.135675,0.1277656,-0.06724067,0.02867214,0.1471987,-0.1626148,0.9038416,-0.006921931,0.3957006,133.3806,-0.1770671,0.9841701,-0.007537114,-0.1174352,0.06717828,-0.02065443,0.1368596,-0.2249257,0.04141475,0.04238654,0.9725722,26.90052,-0.9670013,0.1780505,0.1822284,0.0911976,1.058713,0.2916163,1.101921,0.1699048,0.2584862,-0.7184202,0.6230487,102.9218,0.2172187,0.3304677,-0.9184809,0.1256844,-0.06968733,0.02412046,0.1457212,0.03328263,0.9189835,-0.3219403,-0.2252021,206.0295,0.03416013,0.9432127,-0.3304283,-0.06348293,-0.1607574,-0.5385023,0.5655596,-0.277458,-0.4605418,0.3214561,0.779477,77.57457,-0.4429188,-0.7351839,0.513155,-0.1911976,0.04128706,0.008383691,0.1957842,-0.9119359,-0.2459604,0.3134879,-0.09798954,191.2468,-0.9163458,-0.2471498,0.3150038,-0.0005220287,0.9963413,-0.03458779,0.9969417,0.2264326,-0.04419936,0.003235927,-0.9730181,333.32,0.98138,-0.1915641,0.01402481,True,True,False,False
1772953330455,0.0557005,0.153027,0.9383825,0.2374647,0.9799839,-0.6359988,-0.6615714,0.2148376,0.334176,140.9551,-0.6747921,-0.7019246,0.2279418,-0.26609,0.6223706,0.2490903,0.7212455,0.5530773,0.3437096,-0.7537456,0.08852638,169.8423,0.5552573,0.3450644,-0.7567166,0.07536441,1.040966,0.2768055,1.079774,0.09238547,1.088402,0.2811458,1.127917,0.1107399,1.078491,0.3087052,1.127255,-0.1627966,0.5754094,0.3207881,0.6786042,-0.1685215,0.5490812,0.338995,0.6669387,-0.1839974,0.5378066,0.3160953,0.65039,0.1051883,-0.07198364,0.0430848,0.1345456,0.1532008,-0.05850092,0.03461653,0.1676042,0.1486858,-0.06621775,0.001229532,0.162769,-0.1142099,0.05805749,-0.04001122,0.1342217,-0.1348616,0.06716102,-0.01660028,0.1515712,-0.1113918,0.07726869,-0.001172364,0.1355727,0.105184,-0.0719276,0.04337681,0.1346061,0.1529559,-0.05867233,0.03463828,0.1674448,0.1492713,-0.06485404,0.001170894,0.1627554,-0.1141679,0.05813909,-0.04005012,0.1342329,-0.1348867,0.06715845,-0.0166293,0.1515956,-0.1114895,0.0772984,-0.001160362,0.1356698,0.1277706,-0.06725869,0.02866934,0.1472107,-0.1631686,0.903792,-0.007724576,0.3955709,133.3968,-0.1776593,0.9840562,-0.008410582,-0.117434,0.0671763,-0.02065259,0.1368573,-0.2249642,0.04148969,0.04231743,0.9725631,26.90499,-0.9670098,0.1783437,0.1819017,0.09042849,1.05846,0.2920898,1.10174,0.1804304,0.26826,-0.7184104,0.6159285,103.9612,0.2290301,0.340517,-0.9119175,0.1256844,-0.06968733,0.02412046,0.1457212,0.03328263,0.9189835,-0.3219403,-0.2252021,206.0295,0.03416013,0.9432127,-0.3304283,-0.06348293,-0.1607574,-0.5385023,0.5655596,-0.277458,-0.4605418,0.3214561,0.779477,77.57457,-0.4429188,-0.7351839,0.513155,-0.1904285,0.04153991,0.007910192,0.195067,-0.9117718,-0.244904,0.3095391,-0.1134903,193.0331,-0.9177008,-0.2464965,0.311552,-0.000933256,0.9963282,-0.03447655,0.9969249,0.2263234,-0.04382826,0.003120734,-0.9730607,333.3412,0.981671,-0.1901037,0.01353609,True,True,False,False
1772953330468,0.0708888,0.1521834,0.9396574,0.2377154,0.9811342,-0.6366013,-0.6713736,0.1884339,0.3293766,141.5381,-0.6742239,-0.7110512,0.1995702,-0.2657346,0.6229646,0.2484952,0.721422,0.5548969,0.3450364,-0.751808,0.0884536,169.8507,0.5570804,0.3463942,-0.7547664,0.07342643,1.041124,0.2773151,1.079924,0.08989052,1.088002,0.283812,1.127997,0.1054927,1.07554,0.312396,1.124948,-0.1628122,0.5758384,0.3205913,0.6788788,-0.1686234,0.5493945,0.3386444,0.6670443,-0.1839726,0.5382454,0.3154937,0.6504539,0.1051761,-0.07215087,0.04240993,0.1344111,0.1528332,-0.05893631,0.03435036,0.1673662,0.1468475,-0.06823205,0.001281887,0.1619304,-0.1142619,0.05794143,-0.03998419,0.1342078,-0.1348938,0.06708328,-0.01653808,0.1515586,-0.1112946,0.0772224,-0.001171522,0.1354664,0.1051834,-0.07194597,0.04329729,0.1345898,0.1529458,-0.05869405,0.0346146,0.1674383,0.1490719,-0.06513187,0.001180023,0.1626837,-0.1141756,0.05812284,-0.0400447,0.1342308,-0.1348873,0.06715227,-0.0166218,0.1515926,-0.1114735,0.07729215,-0.00116128,0.1356531,0.1277611,-0.06733996,0.02863686,0.1472333,-0.1645726,0.9038597,-0.01029625,0.3947755,133.4961,-0.1791213,0.9837632,-0.01120646,-0.1174323,0.0671673,-0.02064597,0.1368504,-0.2250827,0.04175185,0.042207,0.9725292,26.92169,-0.9669299,0.1793613,0.1813165,0.09003517,1.058276,0.2923784,1.101608,0.1948484,0.2730903,-0.7131385,0.61554,104.0177,0.2472364,0.3465148,-0.9048767,0.1256037,-0.06760873,0.02317536,0.1445141,0.01975792,0.9252185,-0.303051,-0.2274653,206.2958,0.0202898,0.9501249,-0.311209,-0.06145263,-0.1595752,-0.5377437,0.5642774,-0.2796193,-0.451784,0.3129124,0.7872675,76.13823,-0.4534773,-0.7326881,0.5074708,-0.1900352,0.04172409,0.007621616,0.1947109,-0.9126379,-0.250063,0.2986037,-0.1240832,194.2556,-0.9197458,-0.2520105,0.3009294,-0.001618682,0.9963385,-0.03443865,0.9969348,0.2262781,-0.043506,0.002903925,-0.9730864,333.354,0.9819359,-0.1887947,0.01260161,True,True,False,False
1772953330483,0.0838509,0.1522801,0.9399567,0.2382105,0.9815559,-0.6374713,-0.6735404,0.1825831,0.3265536,141.8805,-0.6744453,-0.7126064,0.1931731,-0.2657227,0.6231033,0.2484449,0.7215199,0.5552323,0.3453787,-0.7514105,0.08839156,169.8578,0.5574142,0.3467359,-0.7543632,0.07303474,1.041206,0.2771216,1.079926,0.08952526,1.088016,0.2847053,1.128206,0.1039401,1.074492,0.3133887,1.124077,-0.1629187,0.5758764,0.3206158,0.6789482,-0.1687441,0.5494385,0.3385969,0.6670871,-0.1840341,0.5383499,0.3154182,0.6505212,0.1050162,-0.07216136,0.0425396,0.1343327,0.1527945,-0.05934491,0.03396174,0.1673959,0.1458844,-0.06931302,0.001307376,0.1615186,-0.1142787,0.05793076,-0.03990113,0.1341927,-0.1348654,0.06707207,-0.01647389,0.1515214,-0.1112656,0.07720238,-0.001163024,0.1354311,0.1051688,-0.07196473,0.04323128,0.1345672,0.1529326,-0.05875075,0.03455773,0.1674344,0.1487942,-0.06549612,0.001191118,0.1625758,-0.1141846,0.0581061,-0.04003219,0.1342275,-0.1348854,0.06714528,-0.01660891,0.1515863,-0.1114554,0.07728433,-0.001161432,0.1356338,0.1277211,-0.06745251,0.02861545,0.147246,-0.1659631,0.9041276,-0.01351619,0.3934804,133.6575,-0.1805255,0.9834605,-0.01470217,-0.1174301,0.06715738,-0.02063481,0.136842,-0.2252184,0.04206017,0.04210275,0.9724891,26.94146,-0.9668162,0.1805556,0.1807384,0.08839235,1.057365,0.2939655,1.101022,0.2413512,0.2846373,-0.7094669,0.5978193,106.5723,0.3010752,0.3550728,-0.8850294,0.1253124,-0.06763592,0.02302654,0.1442499,0.02555167,0.9227989,-0.3024162,-0.2373478,207.4601,0.02630329,0.9499437,-0.311312,-0.06109668,-0.1593416,-0.5373515,0.5637989,-0.2834449,-0.4380019,0.3151557,0.792774,75.10902,-0.4650327,-0.7186061,0.5170589,-0.1883924,0.04263544,0.006034464,0.1932508,-0.9180712,-0.2457855,0.2652813,-0.1623603,198.6879,-0.9304164,-0.2490906,0.2688485,-0.002095112,0.9963281,-0.03435356,0.9969224,0.2262005,-0.04318673,0.002499357,-0.9731197,333.3705,0.9822003,-0.1875239,0.01085262,True,True,False,False
1772953330494,0.0979945,0.1515267,0.9399731,0.2410203,0.9821408,-0.6407716,-0.6765025,0.1720128,0.319637,142.718,-0.6762475,-0.7139567,0.1815362,-0.2658673,0.623091,0.2485724,0.7216066,0.5558055,0.345939,-0.7507538,0.08817805,169.8824,0.5579789,0.3472918,-0.7536895,0.07127103,1.041664,0.2772128,1.080273,0.08904199,1.087702,0.2882529,1.128767,0.09932765,1.070826,0.3169344,1.121152,-0.1632032,0.5757754,0.3208585,0.6790454,-0.1691286,0.5493466,0.3393451,0.6674888,-0.184301,0.5382372,0.3156317,0.650607,0.1049711,-0.07183561,0.04373308,0.134506,0.1527415,-0.05996633,0.03214324,0.1672098,0.1425987,-0.07262315,0.001318768,0.160032,-0.1143044,0.05786508,-0.03987616,0.1341789,-0.1353518,0.06670364,-0.01633399,0.1517771,-0.1113541,0.07713094,-0.001124695,0.1354629,0.1051539,-0.07195501,0.04326907,0.1345626,0.1529182,-0.05884229,0.03437589,0.1674159,0.1483277,-0.06603285,0.001200731,0.1623665,-0.1141936,0.05808795,-0.04002044,0.1342238,-0.1349205,0.06711202,-0.01658821,0.1516006,-0.1114478,0.07727278,-0.001158665,0.1356209,0.127607,-0.06761017,0.0286495,0.1472259,-0.1678524,0.9050375,-0.01838522,0.3903775,134.044,-0.1823185,0.9830368,-0.01996972,-0.117446,0.06714066,-0.0206185,0.136845,-0.2253,0.04235281,0.04247772,0.9724412,26.96499,-0.9663376,0.1816561,0.1821918,0.0876539,1.057192,0.2941433,1.100845,0.263622,0.2861822,-0.7029961,0.5953149,106.9298,0.3280952,0.3561728,-0.8749256,0.1242985,-0.06775748,0.02299355,0.1434221,0.02921544,0.9084976,-0.3104916,-0.278161,212.301,0.03041582,0.9458251,-0.3232488,-0.06102528,-0.1595728,-0.5356925,0.5622758,-0.2792496,-0.3948406,0.3115454,0.817961,70.23763,-0.4854203,-0.6863523,0.5415601,-0.1876539,0.04280758,0.005856663,0.1925637,-0.9202076,-0.249186,0.2459993,-0.1749539,200.1519,-0.9346225,-0.2530895,0.2498528,-0.002585549,0.9962626,-0.03428262,0.9968556,0.2261595,-0.04257071,0.002121324,-0.9731573,333.3893,0.9826998,-0.1849767,0.0092175,True,True,False,False
1772953330510,0.1111027,0.1507728,0.9399541,0.2430313,0.9825021,-0.6460997,-0.6783373,0.1624556,0.309874,143.8967,-0.6795487,-0.7134553,0.170866,-0.2658631,0.6231115,0.2486051,0.721634,0.5565052,0.3466158,-0.7499616,0.08784737,169.9204,0.558665,0.347961,-0.7528722,0.07081265,1.042602,0.2770524,1.081107,0.08847602,1.08802,0.288977,1.129214,0.09663709,1.069571,0.3172883,1.119818,-0.1633732,0.5757033,0.321049,0.6791152,-0.1692829,0.549176,0.3394778,0.667455,-0.184405,0.5380882,0.3156674,0.6505305,0.1053174,-0.07162917,0.0431876,0.1344904,0.1526868,-0.06022614,0.03122493,0.1670791,0.140836,-0.07354279,0.001379646,0.1588875,-0.1143507,0.05774865,-0.03986037,0.1341635,-0.1354363,0.06665459,-0.01631632,0.151829,-0.1114057,0.07713149,-0.001106985,0.1355055,0.1051673,-0.07192842,0.04326242,0.1345566,0.1528993,-0.05895524,0.03411873,0.1673858,0.1477162,-0.06664576,0.001215333,0.1620593,-0.1142065,0.05806026,-0.04000738,0.1342188,-0.1349626,0.06707469,-0.01656602,0.1516191,-0.1114443,0.07726125,-0.001154448,0.1356115,0.1274792,-0.06777816,0.02866071,0.1471947,-0.1697506,0.9062406,-0.0238528,0.3864504,134.5324,-0.1840494,0.9825767,-0.02586201,-0.1174667,0.06711912,-0.0206007,0.1368496,-0.2254775,0.04264078,0.04284405,0.9723714,26.99927,-0.9658942,0.1826634,0.1835341,0.08680262,1.05734,0.2942678,1.100952,0.2924527,0.2889807,-0.6989495,0.5851763,108.3691,0.3606493,0.3563676,-0.8619365,0.1236264,-0.06753411,0.02229209,0.1426228,0.03594575,0.9038835,-0.3084749,-0.2941872,214.2176,0.03761007,0.9457341,-0.3227576,-0.05961202,-0.1593377,-0.5352871,0.561671,-0.2790934,-0.3747198,0.3168206,0.8254192,68.73798,-0.4943902,-0.6637843,0.5612209,-0.1868026,0.04266036,0.005732208,0.1916976,-0.9229221,-0.2463932,0.2225905,-0.1948301,202.4696,-0.9409537,-0.2512071,0.2269394,-0.003131806,0.9961909,-0.03424133,0.9967842,0.2259979,-0.04206883,0.001528792,-0.9732178,333.4194,0.9830909,-0.1829994,0.006650246,True,True,False,False
1772953330524,0.1258699,0.1502492,0.940088,0.2448836,0.9830098,-0.6512303,-0.6795379,0.1521648,0.3016176,144.8904,-0.6830402,-0.7127305,0.1595974,-0.2657815,0.6232468,0.2485345,0.7216965,0.5570828,0.3472288,-0.7492961,0.08744396,169.9669,0.559225,0.3485639,-0.7521774,0.06982712,1.043543,0.2760183,1.081686,0.08851543,1.088049,0.2905594,1.129651,0.09447363,1.068048,0.3177549,1.118311,-0.1634896,0.5757205,0.3211438,0.6792027,-0.1693417,0.5491689,0.3396426,0.6675479,-0.184419,0.5380679,0.3155524,0.6504619,0.1052289,-0.07155373,0.04412433,0.1346848,0.1523478,-0.06075326,0.02981779,0.166703,0.1387466,-0.07444443,0.00148543,0.1574636,-0.1144217,0.05760911,-0.03979134,0.1341436,-0.135651,0.06649756,-0.01630192,0.1519502,-0.111428,0.0771317,-0.001101173,0.1355239,0.1051719,-0.07189991,0.04332801,0.1345662,0.1528573,-0.05909206,0.03379145,0.1673293,0.1470337,-0.0672392,0.001235886,0.1616835,-0.1142228,0.05802593,-0.03999094,0.134213,-0.135015,0.06703077,-0.01654592,0.1516441,-0.1114431,0.07725139,-0.001150394,0.1356048,0.127297,-0.06794754,0.02870866,0.1471244,-0.1713832,0.9077788,-0.02896028,0.3817417,135.1168,-0.1854256,0.9821587,-0.03133317,-0.1174931,0.06709563,-0.02057847,0.1368573,-0.2257533,0.04295799,0.04324365,0.9722757,27.0462,-0.9654289,0.1837089,0.1849305,0.08403428,1.05744,0.2943749,1.100862,0.3462538,0.2899678,-0.6852987,0.5713078,110.317,0.4218821,0.3533022,-0.8349809,0.1230822,-0.06757528,0.02228414,0.1421697,0.03830352,0.8954872,-0.3103984,-0.3166834,216.9249,0.04038192,0.9440777,-0.3272411,-0.05825377,-0.1595132,-0.5347952,0.5611094,-0.2742552,-0.3481596,0.3179133,0.838153,66.10884,-0.5028188,-0.6383149,0.5828614,-0.1840343,0.04255986,0.005625069,0.1889751,-0.9260023,-0.2464865,0.1748641,-0.2262452,206.1522,-0.9506524,-0.2530479,0.179519,-0.003657222,0.9962567,-0.0342008,0.9968503,0.2258006,-0.04143696,0.0008414877,-0.9732915,333.4562,0.9835693,-0.1804961,0.003665452,True,True,False,False
1772953330537,0.1399145,0.1492594,0.941368,0.2466412,0.9845222,-0.6573194,-0.6805071,0.1390318,0.2924235,145.9938,-0.6873648,-0.7116124,0.1453868,-0.2656665,0.6235598,0.2483263,0.7218528,0.5577106,0.3479536,-0.7485592,0.08686937,170.0329,0.559827,0.349274,-0.7513998,0.06835043,1.045825,0.2749909,1.083532,0.08903195,1.088482,0.2943047,1.131077,0.08969349,1.065943,0.3192278,1.116327,-0.1637666,0.5757412,0.3212351,0.6793302,-0.1693951,0.5492913,0.3399715,0.6678295,-0.1844322,0.538187,0.3153177,0.6504503,0.1051997,-0.07191341,0.0449749,0.1351342,0.1517138,-0.06202604,0.02602664,0.1659569,0.1351044,-0.07797614,0.001545519,0.1559996,-0.1145954,0.05740361,-0.03947943,0.1341115,-0.1361557,0.06618837,-0.01623481,0.1522592,-0.1114901,0.07709849,-0.001075353,0.1355558,0.1051743,-0.07190105,0.04346784,0.1346137,0.1527603,-0.05934117,0.03313217,0.1671969,0.1460208,-0.06815083,0.001262176,0.1611466,-0.1142545,0.05797309,-0.03994751,0.1342042,-0.1351119,0.06695925,-0.01651951,0.1516959,-0.1114471,0.07723841,-0.001144022,0.1356006,0.1269552,-0.06824923,0.02879473,0.1469855,-0.1744867,0.9100084,-0.03675489,0.3742835,136.0399,-0.1881635,0.9813376,-0.03963584,-0.1175448,0.06706306,-0.0205295,0.1368784,-0.2262898,0.04345864,0.04380777,0.9721035,27.13048,-0.9647729,0.1852833,0.1867717,0.08317733,1.057606,0.2940493,1.10087,0.3678924,0.2869498,-0.6816366,0.5636369,111.3846,0.4453781,0.3473873,-0.8252033,0.1212584,-0.06914835,0.02281399,0.1414411,0.05074851,0.8758923,-0.3248541,-0.353139,221.3589,0.05424337,0.9362116,-0.3472255,-0.05614515,-0.1605929,-0.5326546,0.5591631,-0.2671515,-0.2966063,0.3268884,0.8566206,62.12153,-0.5177888,-0.5748776,0.6335699,-0.1831773,0.04239404,0.005950719,0.1881133,-0.9278892,-0.2426893,0.1545476,-0.2371472,207.4364,-0.9551355,-0.2498155,0.1590857,-0.004187518,0.9963132,-0.03421662,0.9969093,0.2259531,-0.04110295,0.0003936977,-0.9732705,333.4457,0.9838525,-0.1789718,0.001714251,True,True,False,False
