Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772953325179,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2,0,0,0.2,-0.4891587,-0.7804643,0.07178282,0.3826834,135,-0.5294616,-0.8447685,0.07769717
Trial Start,1772953330411,0,1,1,0.09180047,1.058447,0.2908315,1.101508,0.1755599,0.2490774,-0.711553,0.6331126,101.4397,0.2268041,0.3217807,-0.9192482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1918005,0.04155314,0.009168535,0.1964641,-0.9143386,-0.2539794,0.3025663,-0.08906829,190.22,-0.9179871,-0.2549929,0.3037736
Grab,1772953330412,0,1,1,0.09180047,1.058447,0.2908315,1.101508,0.1755599,0.2490774,-0.711553,0.6331126,101.4397,0.2268041,0.3217807,-0.9192482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1918005,0.04155314,0.009168535,0.1964641,-0.9143386,-0.2539794,0.3025663,-0.08906829,190.22,-0.9179871,-0.2549929,0.3037736
Release,1772953331188,0.7775868,1,1,-0.01580733,1.077953,0.269647,1.111279,0.8394465,0.2485382,0.09812503,0.4732122,123.514,0.9528894,0.2821257,0.1113857,0.1141806,-0.05844282,0.04515207,0.1359834,0.4402205,0.5742268,-0.3287217,-0.6069692,254.7414,0.5539278,0.7225474,-0.4136293,0.00948238,-0.2099419,-0.5025239,0.5446979,-0.3896928,0.5799654,0.511025,0.5006327,119.9163,-0.4501685,0.6699692,0.5903301,-0.08419268,0.02204752,0.03035304,0.0921727,-0.4582943,-0.5726932,-0.5371657,-0.4164636,229.223,-0.5040897,-0.6299199,-0.5908423
Grab,1772953331883,1.471505,1,1,-0.01947795,1.075261,0.2719735,1.109295,0.8403211,0.05237361,0.2911859,0.4542338,125.9687,0.9432458,0.05878847,0.3268511,0.1253124,-0.08029687,0.02502991,0.1509214,0.6421583,0.03888435,-0.5501002,-0.5324571,244.3432,0.7586426,0.04593777,-0.6498856,-0.005358211,-0.221509,-0.4928899,0.540403,-0.3075418,0.62301,0.6527128,0.3020638,144.8368,-0.3226118,0.6535382,0.6846966,-0.08052205,0.02473938,0.02802649,0.0887768,-0.3127497,-0.5773125,-0.7090474,-0.2571962,209.8075,-0.323637,-0.5974098,-0.7337306
Release,1772953332217,1.804622,1,1,-0.03400549,1.098316,0.2789028,1.133685,0.8279152,0.1549888,0.5287787,-0.1045373,192.001,0.8324764,0.1558426,0.5316919,0.1002348,-0.07246853,0.02892116,0.1270241,0.4433933,-0.2866626,-0.4587849,-0.7146633,271.2312,0.6339,-0.409829,-0.6559047,-0.000478149,-0.2477161,-0.4963265,0.5547103,-0.162781,0.9638796,0.1906018,0.09005318,169.6667,-0.1634451,0.9678118,0.1913794,-0.06599452,0.001683593,0.02109721,0.06930514,0.1581244,-0.2958108,-0.780203,-0.5279926,243.7398,0.1861932,-0.3483204,-0.9186974
Grab,1772953334022,3.610894,1,1,-0.03432519,1.109618,0.2882233,1.146954,0.7249016,-0.3208649,0.5786713,0.1915804,157.9099,0.7385824,-0.3269205,0.5895923,0.1281346,-0.0644991,0.01617276,0.1443613,0.6594206,-0.2634427,-0.6521349,0.2654856,149.2084,0.6839648,-0.2732482,-0.6764079,-0.0008003444,-0.2579946,-0.502675,0.5650168,0.007912543,0.7686413,0.6269426,-0.1267718,194.5662,0.0079769,0.774893,0.6320419,-0.06567481,-0.009617925,0.01177669,0.06741198,0.05747862,-0.3618296,-0.9304094,0.01068503,178.7756,0.0574819,-0.3618502,-0.9304624
Release,1772953335425,5.013855,1,1,-0.07722872,1.04795,0.2272128,1.075076,0.06064115,-0.8964601,0.1432516,0.414923,130.9711,0.06664914,-0.9852763,0.1574441,0.1203691,-0.06317845,0.02572808,0.1383552,0.1892911,0.0362053,-0.8767149,0.4407144,127.7011,0.2108747,0.04033354,-0.9766806,0.0627886,-0.2093053,-0.4385105,0.4899414,0.3879094,-0.1114376,0.8514559,-0.3348599,219.128,0.4116763,-0.1182652,0.9036238,-0.02277128,0.05205011,0.07278721,0.09233484,-0.1787173,-0.05519791,-0.5108752,0.8390591,65.91824,-0.3284999,-0.1014592,-0.9390387
Grab,1772953336273,5.860948,1,1,-0.07717703,1.044526,0.230196,1.072371,-0.02863263,-0.9313384,0.1659331,0.3228856,142.3249,-0.03025304,-0.9840458,0.1753238,0.1275492,-0.07038567,0.02433952,0.1477002,0.2817897,0.1751119,-0.3707214,0.8674654,59.66918,0.5664139,0.3519853,-0.7451719,0.05051841,-0.2164232,-0.4387359,0.4918132,0.4787216,-0.1286896,0.7564127,-0.4267371,230.5213,0.5293393,-0.1422966,0.836392,-0.02282297,0.0554744,0.069804,0.09203747,-0.08433431,0.02529475,-0.4735478,0.8763564,57.58818,-0.1750898,0.05251542,-0.9831511
Release,1772953337774,7.360823,1,1,-0.08014449,1.100616,0.2655127,1.135022,0.01836763,-0.7326447,0.0809225,0.6755339,95.00875,0.02491104,-0.9936469,0.1097509,0.1305602,-0.06418169,0.04036145,0.1509778,0.2837258,0.261054,-0.742037,0.54839,113.4867,0.3392946,0.3121824,-0.8873677,0.02119533,-0.2835605,-0.4613283,0.5419222,0.1852411,-0.2379025,0.9271401,-0.2224848,205.71,0.1900033,-0.2440185,0.9509752,-0.01985551,-0.0006154776,0.03448728,0.0397994,-0.3269065,-0.2877615,-0.3551908,0.8271428,68.38734,-0.5816924,-0.5120385,-0.6320211
