Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772956033455,0,1,1,0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.2,0,0,0.2,0.2022316,-0.7449151,0.5076981,0.3826833,135,0.2188939,-0.8062903,0.5495284
Trial Start,1772956034988,0,1,1,0.09736323,1.026371,0.2423602,1.059082,0.1229418,-0.2348837,0.2873142,0.9204161,46.02607,0.314477,-0.6008168,0.7349308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1973632,0.07362938,0.05763984,0.2183939,0.2338642,-0.6000591,0.3132628,0.6979279,91.47802,0.3265493,-0.8378746,0.4374151
Grab,1772956036977,2.019971,1,1,0.09842615,1.027912,0.2452096,1.061329,0.2077291,-0.282303,0.2553963,0.9010696,51.40197,0.4789977,-0.6509558,0.5889122,0.1225184,-0.07536294,0.02223499,0.1455497,0.7698485,0.2212022,-0.446292,0.3990318,132.9647,0.8395871,0.2412404,-0.4867204,-0.1890053,0.01744393,-0.440446,0.4796039,-0.152934,0.09246115,0.9689461,0.1708966,160.3201,-0.1552174,0.09384166,0.9834132,-0.1984262,0.07208765,0.05479036,0.218109,0.1496542,-0.6170022,0.2620854,0.7267897,86.76414,0.2178816,-0.8982939,0.3815702
Release,1772956037947,2.990287,1,1,-0.02285363,1.083305,0.2596236,1.114216,0.6559936,-0.1691696,0.5418505,0.4974456,120.3377,0.7561929,-0.1950093,0.624615,0.1017746,-0.05432466,0.01232151,0.1160218,0.8675507,-0.03180295,-0.4663439,-0.1699055,199.5647,0.8803506,-0.03227217,-0.4732244,-0.1343341,-0.318524,-0.3192448,0.4705533,0.02807793,0.8174292,0.5683924,0.08917017,169.7683,0.02819023,0.8206986,0.5706657,-0.07714637,0.01669478,0.04037637,0.08865963,0.1673069,-0.5292838,-0.4092531,0.7241403,87.20526,0.2425959,-0.767464,-0.593419
Grab,1772956040529,5.57294,1,1,-0.02798581,1.086428,0.2940023,1.125854,0.5117733,-0.2786355,0.4527671,0.6748722,95.11156,0.6935211,-0.3775883,0.6135598,0.1205061,-0.07804062,0.02683603,0.1460555,0.8153112,0.01753719,-0.5455781,0.1931445,157.7273,0.8309578,0.01787374,-0.5560483,-0.1644592,-0.2788464,-0.3307231,0.4627958,-0.04131058,0.6154836,0.7710345,0.1580488,161.8127,-0.04183641,0.6233178,0.7808486,-0.07201419,0.01357198,0.005997688,0.07352696,0.1364437,-0.5643558,-0.1555139,0.7991878,73.89477,0.2269971,-0.9389008,-0.2587235
Release,1772956041128,6.169652,1,1,-0.01661094,1.07103,0.3005011,1.112512,0.1831766,-0.743522,0.4056099,0.4991012,120.1189,0.2113876,-0.8580317,0.4680778,0.1325021,-0.08672222,0.0249437,0.1603114,0.76706,-0.01953303,-0.434473,0.4716682,123.7147,0.8699031,-0.02215191,-0.4927248,-0.1616179,-0.2658654,-0.3321728,0.4551302,0.3225205,0.2172876,0.9210297,-0.02170507,182.4874,0.3225964,0.2173387,0.9212466,-0.08338906,0.02896953,-0.0005011261,0.08827922,-0.04450431,-0.09822585,0.1120852,0.98783,17.89595,-0.2861324,-0.6315252,0.7206311
Grab,1772956041987,7.031126,1,1,-0.02089383,1.070252,0.3047462,1.11299,0.3810245,-0.757218,0.2786628,0.4514291,126.3292,0.4270105,-0.8486072,0.3122948,0.123541,-0.07478029,0.01662989,0.1453652,0.39211,-0.1403377,-0.8224385,0.3874923,134.4029,0.4253405,-0.152231,-0.8921385,-0.1749754,-0.2602716,-0.3258004,0.4522207,0.4143927,0.2887508,0.8472494,0.1645302,161.0601,0.420118,0.2927402,0.8589553,-0.07910617,0.0297482,-0.004746228,0.08464791,-0.2313764,-0.1835926,-0.008147401,0.9553493,34.37249,-0.783056,-0.6213394,-0.02757356
On Target,1772956044599,9.653881,1,1,-0.08690934,1.097092,0.2864983,1.137209,0.2657506,-0.7655497,0.477842,0.339083,140.358,0.282486,-0.8137597,0.5079338,0.1242755,-0.07565107,0.01596227,0.1463635,0.2893116,-0.1177257,-0.8508708,0.4224433,130.0221,0.3191914,-0.1298842,-0.9387476,-0.1989953,-0.3070813,-0.2685605,0.4538974,0.5066012,0.2822659,0.812948,-0.05288589,186.0631,0.507311,0.2826614,0.8140872,-0.01309066,0.002908111,0.01350167,0.01902939,-0.06584135,0.002088755,-0.05385363,0.9963737,9.761883,-0.7738269,0.02454893,-0.6329365
Off Target,1772956044626,9.681872,1,1,-0.08697833,1.097161,0.286608,1.137309,0.2687275,-0.7651216,0.4764759,0.3396252,140.2919,0.2857098,-0.8134738,0.506587,0.1242262,-0.07564564,0.01582753,0.1463042,0.2911052,-0.1165555,-0.8508931,0.4214898,130.1426,0.3210129,-0.1285302,-0.9383125,-0.1994646,-0.3069766,-0.2680628,0.4537383,0.5043643,0.2826464,0.81423,-0.05251217,186.0202,0.505061,0.2830369,0.8153548,-0.01302167,0.002838731,0.013392,0.0188936,-0.06767123,-0.0002666364,-0.05535969,0.9961706,10.03158,-0.774002,-0.003049702,-0.6331866
On Target,1772956044640,9.696135,1,1,-0.08707178,1.097156,0.2867451,1.137346,0.2674502,-0.7651858,0.4792423,0.3365828,140.6624,0.2840217,-0.8125978,0.5089368,0.1241902,-0.07559002,0.01577999,0.1462397,0.2912332,-0.116094,-0.8517785,0.4197368,130.3641,0.3208665,-0.1279067,-0.938448,-0.199566,-0.3068624,-0.2681249,0.4537423,0.5039647,0.283444,0.8143078,-0.05081371,185.8253,0.5046166,0.2838106,0.815361,-0.01292823,0.002844095,0.01325494,0.01873289,-0.06576959,0.003232277,-0.0569985,0.9962004,9.992523,-0.755184,0.03711387,-0.6544721
