Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772873868162,0.0133541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1029684,1.099709,0.2979268,1.143994,0.1029579,-0.03957171,-0.0352149,0.9932742,13.2979,0.889211,-0.3417667,-0.3041385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2029684,0.0002912283,0.002073169,0.2029792,0.2065893,0.4495319,-0.7631016,0.415834,130.8563,0.2271608,0.494295,-0.8390891,-0.02778248,1.080503,-0.1515748,1.091436,0.1437785,0.06223372,-0.03479789,-0.9870379,341.5296,0.8958873,0.3877797,-0.2168264,True,True,False,False
1772873868190,0.0433926,-0.01413848,1.015599,0.2351458,1.042561,-0.5259745,-0.7608349,0.1542884,0.3473847,139.3451,-0.5609063,-0.8113646,0.1645353,-0.2249448,0.5840297,0.1113923,0.6356879,0.6176837,0.1768203,-0.7423767,0.189943,158.1011,0.629137,0.180099,-0.7561422,-0.1163555,1.084812,0.2893556,1.128753,-0.1085489,1.124243,0.3077825,1.170656,-0.09089413,1.109927,0.3274615,1.160789,-0.1354443,0.5592291,0.2069041,0.6114668,-0.1451129,0.548108,0.246511,0.6182619,-0.1646322,0.5354246,0.2574638,0.6164989,0.1036623,-0.07576787,0.04112045,0.1348241,0.1445943,-0.06568012,0.02777642,0.1612232,0.135185,-0.0709672,-0.0002843589,0.1526808,-0.1071811,0.06358799,-0.04708184,0.1332213,-0.1438651,0.06726807,-0.02642728,0.1609986,-0.150623,0.06816915,-0.001620986,0.1653389,0.1036623,-0.07576787,0.04112045,0.1348241,0.1445943,-0.06568012,0.02777642,0.1612232,0.135185,-0.0709672,-0.0002843589,0.1526808,-0.1071811,0.06358799,-0.04708184,0.1332213,-0.1438651,0.06726807,-0.02642728,0.1609986,-0.150623,0.06816915,-0.001620986,0.1653389,0.1213843,-0.07229806,0.02592728,0.1436433,-0.1422389,0.9359017,9.821526E-05,0.3222672,142.3998,-0.1502552,0.9886472,0.0001037505,-0.1248425,0.06543671,-0.02989451,0.1440878,-0.02245577,-0.3727762,-0.04163745,0.9267147,44.1433,-0.05976002,-0.992044,-0.1108069,-0.1037642,1.098691,0.2955937,1.142482,0.1227734,-0.0750098,-0.07616164,0.9866609,18.73764,0.7541872,-0.4607791,-0.4678547,0.1175724,-0.06568774,0.02772301,0.1375017,0.5253047,0.744608,-0.2646316,0.3155693,143.2096,0.5535918,0.7847044,-0.2788817,-0.2364881,-0.3903814,-0.3275275,0.5617815,-0.5583693,-0.1284655,0.7733427,0.2714066,148.504,-0.5801452,-0.1334755,0.8035023,0.2037642,0.001309156,0.004406303,0.203816,0.2416703,0.468839,-0.7276953,0.4384577,127.989,0.2688954,0.5216557,-0.8096731,-0.02726651,1.08044,-0.1518811,1.091403,0.144316,0.06187041,-0.03376738,-0.9870181,341.5155,0.8985546,0.3852236,-0.2102458,True,True,False,False
1772873868203,0.0576407,-0.01384389,1.015395,0.2350574,1.042339,-0.5306731,-0.7609799,0.1510718,0.3412814,140.0901,-0.5645692,-0.8095865,0.1607213,-0.2251271,0.5838314,0.1114314,0.6355771,0.6174484,0.1764651,-0.7428282,0.1892722,158.1794,0.6288143,0.1797134,-0.7565022,-0.1177307,1.085417,0.2855621,1.12851,-0.1075718,1.122466,0.307203,1.168706,-0.09270658,1.107654,0.3263269,1.158439,-0.1357014,0.5588292,0.2069041,0.6111582,-0.1451464,0.5478343,0.2465144,0.6180285,-0.1647099,0.5351545,0.2574745,0.6162895,0.1030843,-0.07571175,0.04344647,0.1350786,0.1425278,-0.066878,0.02583031,0.1595432,0.1328748,-0.07352202,-3.001094E-05,0.1518592,-0.107207,0.06357219,-0.04692937,0.1331808,-0.1439257,0.06725413,-0.02650271,0.1610594,-0.1506644,0.06815988,-0.001655169,0.1653731,0.1035705,-0.07575896,0.04148976,0.1348617,0.1442662,-0.06587031,0.02746743,0.1609537,0.1348182,-0.07137283,-0.0002439757,0.1525454,-0.1071852,0.06358548,-0.04705764,0.1332149,-0.1438747,0.06726586,-0.02643925,0.1610083,-0.1506296,0.06816768,-0.001626413,0.1653443,0.1210456,-0.07248048,0.02612269,0.1434847,-0.1439233,0.9370801,-0.004115934,0.3180411,142.911,-0.1518055,0.9884009,-0.00434135,-0.1248548,0.06543529,-0.02987805,0.1440944,-0.02247973,-0.3729397,-0.04161593,0.9266493,44.16324,-0.05979811,-0.9920533,-0.1107021,-0.1039282,1.098766,0.294872,1.142382,0.1198082,-0.08529206,-0.08301502,0.9856368,19.44531,0.7094316,-0.5050479,-0.4915646,0.1159295,-0.06661999,0.02847186,0.136706,0.4962053,0.747099,-0.3082829,0.3171516,143.0185,0.5232164,0.7877676,-0.3250645,-0.2339461,-0.3905689,-0.3262672,0.5601118,-0.5168153,-0.1441347,0.7864842,0.3058921,144.3763,-0.5428354,-0.1513915,0.8260813,0.2039282,0.001234055,0.005128026,0.2039964,0.2535611,0.4685697,-0.7232125,0.4394462,127.8629,0.2822775,0.5216364,-0.805118,-0.02666385,1.080317,-0.1524623,1.091348,0.1443566,0.06126171,-0.03314502,-0.9870712,341.5534,0.9006396,0.3822112,-0.2067914,True,True,False,False
1772873868216,0.07067151,-0.0136448,1.014988,0.236071,1.042169,-0.5358374,-0.7606236,0.1478042,0.3353866,140.8079,-0.5687808,-0.807387,0.1568913,-0.2251678,0.5838109,0.1114503,0.6355761,0.6172872,0.1761874,-0.7431696,0.1887157,158.2443,0.6285816,0.1794111,-0.7567673,-0.1179255,1.085736,0.2846334,1.128603,-0.107374,1.123028,0.306569,1.169062,-0.09325296,1.107438,0.3257317,1.158109,-0.1356287,0.5587392,0.2068103,0.6110279,-0.145111,0.5476646,0.2464482,0.6178434,-0.1646901,0.5350627,0.2575202,0.6162237,0.1027071,-0.07600795,0.04372814,0.1350485,0.142401,-0.06702158,0.02564961,0.1594611,0.1320538,-0.07406344,9.581447E-05,0.1514054,-0.1071798,0.06356597,-0.0470238,0.1331893,-0.1439053,0.06729664,-0.02650449,0.1610592,-0.1507429,0.0681481,-0.001659796,0.1654399,0.1034996,-0.07577942,0.04167368,0.1348754,0.1441129,-0.06596491,0.02731807,0.1608297,0.1345911,-0.07159391,-0.000216056,0.1524483,-0.1071848,0.06358388,-0.04705486,0.1332128,-0.1438772,0.06726839,-0.02644461,0.1610124,-0.1506389,0.06816607,-0.001629156,0.1653522,0.1208612,-0.07258604,0.02623172,0.1434025,-0.1449653,0.9376528,-0.006183449,0.3158386,143.1771,-0.152786,0.9882378,-0.006517037,-0.1248598,0.06543419,-0.02987582,0.1440978,-0.02240908,-0.3730237,-0.04178003,0.9266098,44.17529,-0.05959473,-0.9920197,-0.1111099,-0.1036557,1.099253,0.2936623,1.142514,0.1230924,-0.1025799,-0.09222847,0.9827612,21.30821,0.6657982,-0.5548476,-0.4988574,0.1154115,-0.06698979,0.02863508,0.1364823,0.4925734,0.7478671,-0.310355,0.3189768,142.7979,0.5197224,0.7890871,-0.3274607,-0.2331266,-0.3912262,-0.3257536,0.5599298,-0.5077986,-0.151959,0.7905874,0.306628,144.2877,-0.5334975,-0.1596494,0.8305978,0.2036557,0.0007474422,0.006337672,0.2037556,0.2693271,0.4750091,-0.7126383,0.4404272,127.7377,0.2999896,0.5290881,-0.7937709,-0.02631538,1.080347,-0.1528543,1.091424,0.1440783,0.06081751,-0.03267233,-0.9871551,341.6135,0.9018161,0.3806694,-0.2045029,True,True,False,False
1772873868232,0.0840994,-0.01366073,1.014072,0.2379602,1.041707,-0.5495089,-0.7583638,0.1379721,0.3223168,142.3938,-0.5804886,-0.801118,0.1457505,-0.2252728,0.583732,0.1114658,0.6355435,0.6169968,0.1757004,-0.7438174,0.1875635,158.3787,0.6281448,0.178875,-0.7572569,-0.1173638,1.087832,0.283063,1.130167,-0.1069528,1.12432,0.3048958,1.169828,-0.0943628,1.108102,0.3241918,1.158402,-0.1355762,0.5583905,0.2066116,0.6106302,-0.1450863,0.547341,0.2463318,0.6175044,-0.1646751,0.5348362,0.2575126,0.6160198,0.1027736,-0.07621716,0.04310026,0.1350152,0.1418331,-0.06770552,0.02525635,0.1591808,0.1310098,-0.07501156,0.0002892911,0.1509649,-0.1071188,0.06362165,-0.04709831,0.1331931,-0.143907,0.06730726,-0.02652446,0.1610684,-0.1508321,0.06811276,-0.001695193,0.165507,0.1034446,-0.07581255,0.04178164,0.1348853,0.1439404,-0.06609664,0.02716204,0.1607028,0.1343201,-0.07185256,-0.0001778119,0.1523309,-0.1071798,0.06358674,-0.04705815,0.1332113,-0.1438795,0.06727133,-0.02645066,0.1610167,-0.1506535,0.06816204,-0.001634153,0.1653639,0.1206875,-0.07271158,0.02629778,0.1433319,-0.1458029,0.9382449,-0.008346566,0.3136371,143.4429,-0.1535506,0.9881017,-0.008790089,-0.1248621,0.06543468,-0.02987941,0.1441007,-0.02227422,-0.3731402,-0.04194019,0.9265588,44.19081,-0.05921633,-0.9919987,-0.1114986,-0.1033524,1.097875,0.2935116,1.141123,0.1515149,-0.1025083,-0.1314915,0.9742922,26.03963,0.6725386,-0.4550101,-0.5836595,0.1143014,-0.06789515,0.0279823,0.1358587,0.4956149,0.7459244,-0.3150378,0.314188,143.3764,0.5220512,0.7857122,-0.331842,-0.2317771,-0.3925695,-0.325448,0.560132,-0.4907675,-0.1572582,0.7986151,0.3108556,143.7784,-0.5163489,-0.1654553,0.840243,0.2033525,0.002124786,0.006488442,0.203467,0.2707665,0.4875202,-0.6804261,0.4754261,123.2258,0.3077747,0.5541541,-0.7734261,-0.02595304,1.080336,-0.1531774,1.09145,0.1439412,0.06032614,-0.03236606,-0.9872153,341.6568,0.9030626,0.378476,-0.2030592,True,True,False,False
1772873868245,0.0991382,-0.01309137,1.013637,0.2403694,1.04183,-0.5549783,-0.7570584,0.1310304,0.3188928,142.808,-0.5855495,-0.7987612,0.1382483,-0.2253297,0.5835989,0.111613,0.6354672,0.6169347,0.1755247,-0.7440197,0.1871292,158.4294,0.6280287,0.1786811,-0.757399,-0.118452,1.086931,0.2818193,1.129102,-0.1054103,1.122148,0.3063757,1.167987,-0.0938568,1.101902,0.3233403,1.152192,-0.1355489,0.5581115,0.2065723,0.6103557,-0.1449795,0.5471192,0.2464415,0.6173264,-0.1645382,0.5346523,0.2576405,0.615877,0.1007286,-0.07699695,0.04600131,0.1348737,0.1391948,-0.06837755,0.02456711,0.1570166,0.1241269,-0.07608448,0.001226991,0.1455948,-0.1069861,0.06369938,-0.04715773,0.1331446,-0.1439343,0.06736822,-0.02664717,0.1611386,-0.150879,0.06817243,-0.001857914,0.165576,0.1032333,-0.0759047,0.04210996,0.1348773,0.1435712,-0.06627411,0.02696014,0.1604113,0.133527,-0.07218182,-6.851045E-05,0.1517882,-0.1071647,0.0635955,-0.0470659,0.1332061,-0.1438837,0.06727887,-0.02646594,0.1610261,-0.150671,0.06816285,-0.001651563,0.1653804,0.1202574,-0.07288952,0.02650751,0.1430992,-0.146564,0.9399936,-0.009979373,0.3079473,144.1289,-0.1540503,0.9880073,-0.01048911,-0.1248568,0.06544031,-0.02989373,0.1441016,-0.02214296,-0.3733653,-0.04205427,0.9264662,44.21901,-0.05883171,-0.9919957,-0.1117341,-0.1031319,1.0975,0.2932825,1.140683,0.169713,-0.1110449,-0.143949,0.968579,28.80192,0.6823839,-0.4464906,-0.5787918,0.1120577,-0.06820208,0.0293043,0.1344142,0.4760496,0.7580289,-0.3411891,0.2869827,146.6452,0.4969536,0.7913149,-0.3561712,-0.2313438,-0.3916988,-0.3248045,0.5589686,-0.4733736,-0.1585863,0.7901223,0.3556328,138.3355,-0.5064847,-0.1696789,0.8453889,0.2031319,0.002500176,0.006717473,0.2032583,0.2741781,0.5012723,-0.6626804,0.4841562,122.0856,0.313353,0.5728946,-0.757365,-0.02552992,1.08028,-0.1535846,1.091441,0.1439153,0.05959323,-0.03165822,-0.9872866,341.7081,0.9054105,0.3749173,-0.1991705,True,True,False,False
1772873868259,0.1128117,-0.01297351,1.013175,0.2408347,1.041486,-0.5598566,-0.7561356,0.1214589,0.3163342,143.1172,-0.5901628,-0.7970667,0.1280337,-0.2252699,0.5835875,0.1116484,0.6354418,0.6168888,0.1753868,-0.7441848,0.1867532,158.4733,0.6279362,0.1785277,-0.7575118,-0.1181481,1.087591,0.2810088,1.129504,-0.1049614,1.121523,0.3066358,1.167415,-0.09397423,1.099674,0.3225872,1.149859,-0.1353865,0.5580518,0.2064871,0.6102362,-0.144855,0.5470573,0.2464609,0.61725,-0.1644065,0.5346066,0.2576596,0.6158102,0.100672,-0.07700284,0.04635869,0.1349571,0.1385018,-0.06897613,0.02430134,0.1566238,0.1218843,-0.07660604,0.001536712,0.1439675,-0.1069206,0.06371222,-0.04726746,0.133137,-0.1439631,0.06735845,-0.0267005,0.161169,-0.1509053,0.06816645,-0.001924545,0.1655982,0.1030122,-0.07599951,0.04247677,0.1348767,0.1431335,-0.06650738,0.0267306,0.160078,0.1325218,-0.07256378,7.007441E-05,0.1510879,-0.1071436,0.06360558,-0.0470833,0.1332001,-0.1438906,0.06728574,-0.0264862,0.1610385,-0.1506913,0.06816316,-0.001675131,0.1653992,0.1197711,-0.0730889,0.02673397,0.1428349,-0.1467092,0.9423282,-0.01159159,0.3005992,145.0128,-0.1538234,0.9880236,-0.01215369,-0.1248463,0.06544619,-0.02991895,0.1441005,-0.02201048,-0.373617,-0.04211731,0.926365,44.24981,-0.05844105,-0.9920081,-0.1118276,-0.1028942,1.097405,0.2930332,1.140506,0.189012,-0.1212228,-0.1534012,0.9623137,31.55969,0.6950459,-0.4457676,-0.5640957,0.1114276,-0.06864016,0.02936748,0.1341269,0.473619,0.7572274,-0.3536738,0.2778608,147.7348,0.493034,0.7882683,-0.368172,-0.2309676,-0.3916336,-0.324487,0.5585827,-0.4579264,-0.1531167,0.7921866,0.3732282,136.1703,-0.4935936,-0.1650427,0.8538889,0.2028942,0.00259459,0.006966799,0.2030303,0.2773361,0.5169719,-0.6449019,0.4898228,121.3421,0.3181109,0.5929787,-0.7397174,-0.02510044,1.0803,-0.1538033,1.091482,0.1437221,0.05870012,-0.03162779,-0.9873692,341.7677,0.9071283,0.3704965,-0.1996246,True,True,False,False
1772873868274,0.1269941,-0.01294547,1.012793,0.2409065,1.041131,-0.5645008,-0.7551247,0.1105211,0.3145006,143.3387,-0.5946763,-0.7954901,0.1164291,-0.2252063,0.5835656,0.1116386,0.6353974,0.6168591,0.1752695,-0.7443265,0.1863964,158.5149,0.6278627,0.1783959,-0.7576038,-0.1177238,1.088469,0.2800571,1.130069,-0.1043781,1.121073,0.3066469,1.166933,-0.09422754,1.098033,0.3219522,1.148133,-0.1352419,0.5579641,0.2063495,0.6100774,-0.1447418,0.5469897,0.2464654,0.6171654,-0.1642929,0.534548,0.2576635,0.6157306,0.100761,-0.07688238,0.04663066,0.1350485,0.1379354,-0.06928363,0.02408107,0.1562251,0.1203779,-0.07711779,0.001754507,0.1429723,-0.1068398,0.06373437,-0.0473539,0.1331135,-0.1440167,0.06733999,-0.02674205,0.1612161,-0.1509558,0.06815346,-0.001970574,0.1656395,0.1028341,-0.07606936,0.04280541,0.134884,0.1427222,-0.06672703,0.02652097,0.159767,0.131561,-0.07292408,0.0002033401,0.1504203,-0.1071196,0.06361578,-0.04710471,0.1331932,-0.1439006,0.06729003,-0.02650644,0.1610525,-0.1507122,0.0681624,-0.001698505,0.1654181,0.1193421,-0.07326367,0.02692586,0.1426012,-0.1466892,0.9445978,-0.01321107,0.2933307,145.8851,-0.1534389,0.9880615,-0.01381895,-0.1248328,0.06545141,-0.02994834,0.1440973,-0.02190102,-0.3738644,-0.04208986,0.9262691,44.279,-0.05811401,-0.9920434,-0.1116848,-0.1020262,1.096564,0.2923974,1.139455,0.2198731,-0.1326524,-0.171875,0.9510616,35.99811,0.7115602,-0.4292939,-0.5562273,0.1111003,-0.06902106,0.02932587,0.1340418,0.4734366,0.7542475,-0.3657588,0.2705351,148.6078,0.4917747,0.7834626,-0.3799261,-0.2306255,-0.3917929,-0.3243546,0.5584763,-0.441265,-0.1452,0.7955876,0.3888995,134.2279,-0.4789693,-0.1576068,0.8635674,0.2020262,0.003435969,0.007602572,0.2021984,0.279334,0.5391018,-0.6151457,0.502929,119.6121,0.3231807,0.6237238,-0.7117043,-0.02459143,1.080309,-0.1540838,1.091519,0.1438444,0.05801162,-0.03119977,-0.9874057,341.7942,0.9092074,0.3666781,-0.1972066,True,True,False,False
1772873868288,0.1427484,-0.01230827,1.011965,0.2408536,1.040305,-0.5691398,-0.7539677,0.09769223,0.3131595,143.5005,-0.5992833,-0.7939004,0.1028663,-0.225114,0.5835401,0.1115078,0.6353183,0.6168269,0.175141,-0.7444777,0.1860193,158.5589,0.6277842,0.1782522,-0.7577026,-0.1167255,1.088989,0.2784715,1.130074,-0.1028573,1.119789,0.3065016,1.165526,-0.09402847,1.09492,0.3210575,1.144889,-0.1349297,0.557969,0.2060289,0.6099043,-0.1445772,0.5468037,0.2462269,0.6168667,-0.164137,0.5344899,0.2575729,0.6156006,0.1006887,-0.07652123,0.04750755,0.1350951,0.1369627,-0.06932994,0.02386105,0.1553537,0.1179757,-0.07790897,0.002085701,0.1413946,-0.1067293,0.06373905,-0.04761854,0.1331215,-0.1439489,0.06743217,-0.02676951,0.1611986,-0.1510365,0.06813954,-0.00202661,0.165708,0.1026585,-0.07610633,0.04319013,0.1348938,0.142251,-0.06693999,0.02630334,0.1593994,0.1304495,-0.07333194,0.0003573542,0.1496488,-0.1070876,0.06362586,-0.04714675,0.1331872,-0.1439045,0.06730166,-0.02652796,0.1610644,-0.1507387,0.06816053,-0.001725351,0.1654418,0.118883,-0.07342964,0.02713168,0.1423419,-0.14696,0.9472233,-0.01549684,0.2844833,146.9441,-0.153294,0.9880485,-0.01616476,-0.1248124,0.06545633,-0.0299934,0.1440911,-0.02164186,-0.3741029,-0.04238068,0.9261655,44.31047,-0.05738761,-0.992007,-0.1123807,-0.1015107,1.096426,0.2922974,1.139251,0.2338206,-0.1392664,-0.1777931,0.9456862,37.94095,0.7192692,-0.4284054,-0.5469198,0.1103878,-0.06929777,0.02958726,0.1336527,0.467595,0.7518694,-0.3880105,0.2559202,150.3438,0.4837034,0.7777708,-0.4013772,-0.2300751,-0.3910199,-0.3243982,0.5577323,-0.4168806,-0.1335723,0.7964045,0.4172637,130.6761,-0.4587228,-0.1469789,0.8763394,0.2015108,0.003574133,0.007702589,0.2016896,0.2805043,0.5500446,-0.6020953,0.506211,119.1764,0.3252564,0.6377997,-0.6981546,-0.02414322,1.080265,-0.1544506,1.091518,0.1442516,0.0571443,-0.03086954,-0.9874073,341.7953,0.9118366,0.3612179,-0.1951311,True,True,False,False
1772873868302,0.1565286,-0.01225098,1.011453,0.2407192,1.039775,-0.57284,-0.7528973,0.08599865,0.3124166,143.5901,-0.6030244,-0.7925693,0.09053014,-0.2250768,0.5835437,0.11143,0.6352947,0.6167969,0.1750256,-0.7446093,0.1857009,158.596,0.6277151,0.1781238,-0.75779,-0.1159442,1.089611,0.2779588,1.130467,-0.1022383,1.119644,0.3066309,1.165366,-0.09387636,1.09388,0.3205855,1.143749,-0.134858,0.5578782,0.2058671,0.6097508,-0.1445042,0.5467474,0.2461485,0.6167684,-0.1640704,0.5344556,0.2575167,0.6155297,0.1008655,-0.07631576,0.04743212,0.1350842,0.1370133,-0.06932699,0.02384349,0.1553943,0.1173534,-0.07783951,0.002176389,0.1408387,-0.1066784,0.06377041,-0.04764009,0.1331034,-0.1439809,0.06742941,-0.02679121,0.1612296,-0.1510874,0.06812589,-0.002049141,0.1657491,0.102497,-0.0761252,0.04357221,0.1349045,0.1417792,-0.067155,0.02608178,0.1590327,0.1292699,-0.07373794,0.000521197,0.1488229,-0.1070508,0.06363888,-0.04719118,0.1331795,-0.1439114,0.06731316,-0.02655167,0.1610793,-0.1507701,0.0681574,-0.001754515,0.1654695,0.1184323,-0.07358187,0.02732478,0.1420815,-0.1468783,0.9500258,-0.01774336,0.2748873,148.0894,-0.1527633,0.9880906,-0.01845428,-0.1247894,0.06546237,-0.03004228,0.1440842,-0.02135532,-0.3743914,-0.04263635,0.9260438,44.34742,-0.056583,-0.9919863,-0.1129691,-0.09941988,1.095731,0.2922429,1.138384,0.2565143,-0.1440079,-0.1905764,0.936559,41.03701,0.7318316,-0.4108526,-0.5437117,0.1102994,-0.06938879,0.02944925,0.1335965,0.4689397,0.7502342,-0.3926936,0.2510696,150.9184,0.4844573,0.7750602,-0.4056882,-0.230018,-0.3909449,-0.3244746,0.5577006,-0.4050582,-0.1269384,0.7979741,0.4278458,129.3382,-0.4481467,-0.1404416,0.8828595,0.1994199,0.004268765,0.007757097,0.1996163,0.2784839,0.5647718,-0.5805553,0.5161736,117.8481,0.3251478,0.6594073,-0.6778355,-0.02373846,1.080237,-0.1548911,1.091544,0.1443166,0.05625238,-0.03041973,-0.9874629,341.8356,0.9142579,0.3563637,-0.1927116,True,True,False,False
