Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772873864538,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0.2019858,0.3587608,-0.8270707,0.3826834,135,0.2186278,0.3883199,-0.8952149
Trial Start,1772873868161,0,1,-0.1029684,1.099709,0.2979268,1.143994,0.1029579,-0.03957171,-0.0352149,0.9932742,13.2979,0.889211,-0.3417667,-0.3041385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2029684,0.0002912283,0.002073169,0.2029792,0.2065893,0.4495319,-0.7631016,0.415834,130.8563,0.2271608,0.494295,-0.8390891
Grab,1772873868162,0,1,-0.1029684,1.099709,0.2979268,1.143994,0.1029579,-0.03957171,-0.0352149,0.9932742,13.2979,0.889211,-0.3417667,-0.3041385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2029684,0.0002912283,0.002073169,0.2029792,0.2065893,0.4495319,-0.7631016,0.415834,130.8563,0.2271608,0.494295,-0.8390891
Release,1772873869011,0.8514349,1,-0.01855865,1.093965,0.2517686,1.122716,0.4635144,-0.5832685,-0.3757038,0.5511796,113.104,0.5555151,-0.6990387,-0.4502755,0.13955,-0.07294865,0.02273759,0.1590997,0.4011853,0.6923342,-0.4701514,0.3723998,136.2726,0.4322779,0.7459915,-0.5065891,-0.2135742,-0.3753218,-0.3708213,0.5692002,0.260549,-0.04705698,0.7777925,0.5700342,110.4948,0.3171158,-0.05727333,0.946656,0.1185586,0.006035447,0.04823145,0.1281361,0.5511433,0.7284212,-0.02798609,0.4060303,132.0886,0.603094,0.7970821,-0.03062406
Grab,1772873870345,2.185219,1,-0.007363908,1.093791,0.2402519,1.11989,0.2423621,-0.2606414,-0.506642,0.7852647,76.50967,0.3914368,-0.4209595,-0.8182728,0.13955,-0.07294865,0.02273759,0.1590997,0.4011853,0.6923342,-0.4701514,0.3723998,136.2726,0.4322779,0.7459915,-0.5065891,-0.2135742,-0.3753218,-0.3708213,0.5692002,0.260549,-0.04705698,0.7777925,0.5700342,110.4948,0.3171158,-0.05727333,0.946656,0.1073639,0.006209016,0.05974807,0.123026,0.4631965,0.4795814,-0.31599,0.6749822,95.09446,0.6277787,0.6499856,-0.4282671
Release,1772873870804,2.643507,1,0.02682108,1.096794,0.244398,1.124014,0.7440593,-0.6048033,0.1323986,0.2511165,150.9128,0.7686906,-0.6248246,0.1367815,0.1245639,-0.07871584,0.04287709,0.1534627,0.6790357,0.3358744,-0.6385745,-0.1353575,195.5586,0.6853431,0.3389942,-0.644506,-0.2282192,-0.3808128,-0.3915523,0.5919591,0.396797,0.5196868,0.6812232,0.3292612,141.5521,0.4202294,0.5503764,0.7214521,0.07317892,0.003206253,0.05560198,0.09196203,0.2186984,0.9636711,0.1307431,-0.08009521,189.1881,0.2194033,0.9667772,0.1311645
Grab,1772873871721,3.561265,1,0.02563738,1.094921,0.2442764,1.122132,0.7474822,-0.6077011,0.1637703,0.2124829,155.4642,0.76495,-0.6219024,0.1675974,0.1245639,-0.07871584,0.04287709,0.1534627,0.6790357,0.3358744,-0.6385745,-0.1353575,195.5586,0.6853431,0.3389942,-0.644506,-0.2282192,-0.3808128,-0.3915523,0.5919591,0.396797,0.5196868,0.6812232,0.3292612,141.5521,0.4202294,0.5503764,0.7214521,0.07436262,0.005078912,0.05572356,0.09306294,0.2007269,0.9600876,0.1525038,-0.1211745,193.9198,0.202217,0.9672147,0.1536359
Release,1772873872083,3.92205,1,0.02598627,1.089272,0.2497787,1.117845,0.5863577,-0.7763421,0.2309963,0.0108783,178.7534,0.5863925,-0.7763882,0.23101,0.1274898,-0.08646543,0.03109403,0.157152,0.3209501,-0.3605266,-0.8652032,0.1357766,164.3929,0.32395,-0.3638964,-0.8732902,-0.2376003,-0.3852786,-0.3741966,0.587296,0.641479,0.4833069,0.5860517,0.1070641,167.7078,0.6451874,0.486101,0.5894397,0.07401374,0.01072848,0.05022131,0.09008504,0.3370252,0.8326132,0.2697766,-0.3469726,220.6045,0.3593497,0.8877653,0.2876466
Grab,1772873873319,5.158646,1,0.02505999,1.090513,0.2446764,1.117906,0.5532094,-0.7842481,0.2775723,0.04322016,175.0458,0.5537268,-0.7849815,0.2778319,0.1274898,-0.08646543,0.03109403,0.157152,0.3209501,-0.3605266,-0.8652032,0.1357766,164.3929,0.32395,-0.3638964,-0.8732902,-0.2376003,-0.3852786,-0.3741966,0.587296,0.641479,0.4833069,0.5860517,0.1070641,167.7078,0.6451874,0.486101,0.5894397,0.07494001,0.009487033,0.05532357,0.09363069,0.3460723,0.8292334,0.2149084,-0.3826493,224.9958,0.3745802,0.8975419,0.2326116
Release,1772873873832,5.672476,1,0.03450858,1.084562,0.2484182,1.113184,0.4185531,-0.9066712,0.03508413,0.03911435,175.5167,0.4188736,-0.9073655,0.035111,0.1221593,-0.08868276,0.04596711,0.1577989,0.5685261,-0.02909729,-0.7670097,0.2960197,145.5626,0.595202,-0.03046256,-0.8029987,-0.2379805,-0.3783619,-0.3743169,0.5830142,0.7247357,0.2071715,0.6424824,0.1380389,164.1312,0.7317408,0.2091739,0.6486924,0.06549142,0.0154376,0.05158179,0.08478282,0.5850215,0.7142602,0.2875187,-0.254785,209.5217,0.6049874,0.7386369,0.2973312
