Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772879543533,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0.293861,0.8706967,-0.09532242,0.3826833,135,0.3180729,0.9424354,-0.1031763
Trial Start,1772879575437,0,1,0.09145392,1.112896,0.2765629,1.150386,-0.3660774,0.1388664,0.8632563,0.3185781,142.8461,-0.3861997,0.1464995,0.9107073,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.008546084,-0.01289594,0.02343711,0.02808272,-0.5311621,0.4430251,-0.7202712,0.05296146,173.9282,-0.5319087,0.4436478,-0.7212836
Grab,1772879575437,0,1,0.09145392,1.112896,0.2765629,1.150386,-0.3660774,0.1388664,0.8632563,0.3185781,142.8461,-0.3861997,0.1464995,0.9107073,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.008546084,-0.01289594,0.02343711,0.02808272,-0.5311621,0.4430251,-0.7202712,0.05296146,173.9282,-0.5319087,0.4436478,-0.7212836
Release,1772879587326,11.89033,1,0.09417067,1.09659,0.2884451,1.137796,-0.4045385,-0.06676946,0.8390602,0.3575869,138.0959,-0.4331805,-0.07149684,0.8984671,0.1254768,-0.09830563,0.0379915,0.1638651,0.5255602,-0.1893199,0.5041856,0.6585904,97.61508,0.6984174,-0.2515874,0.6700127,-0.06886794,-0.436139,-0.341035,0.5579112,-0.4662986,-0.3236074,0.1455385,-0.8103471,288.2597,-0.7957991,-0.552278,0.2483804,0.005829327,0.003409743,0.01155487,0.01338366,-0.4643114,0.5449068,-0.6877899,-0.1201528,193.8018,-0.4676996,0.5488832,-0.6928089
Grab,1772879588338,12.90086,1,0.08983293,1.087439,0.2919728,1.129532,-0.4097835,-0.01935229,0.8530434,0.3225212,142.3691,-0.4329176,-0.02044482,0.9012016,0.1254768,-0.09830563,0.0379915,0.1638651,0.5255602,-0.1893199,0.5041856,0.6585904,97.61508,0.6984174,-0.2515874,0.6700127,-0.06886794,-0.436139,-0.341035,0.5579112,-0.4662986,-0.3236074,0.1455385,-0.8103471,288.2597,-0.7957991,-0.552278,0.2483804,0.01016707,0.01256096,0.008027196,0.01804392,-0.4893037,0.4998386,-0.7082993,-0.09516006,190.9211,-0.4915343,0.5021172,-0.7115282
Release,1772879588797,13.36248,1,0.1074694,1.092977,0.2712602,1.131251,-0.6274078,-0.2455725,0.6147305,0.4100733,131.5811,-0.6879076,-0.2692526,0.6740077,0.114539,-0.09430428,0.03051357,0.1514713,0.3541595,-0.1453504,0.5120659,0.7689167,79.48658,0.5539378,-0.2273412,0.8009177,-0.07447486,-0.4390929,-0.3248916,0.5512745,-0.2617388,-0.5617191,0.1098416,-0.7771095,281.9934,-0.4158774,-0.8925168,0.1745276,-0.007469364,0.007023454,0.02873978,0.03051385,-0.1512322,0.5718653,-0.748454,-0.2998593,214.8983,-0.158527,0.5994499,-0.7845566
Grab,1772879590019,14.58196,1,0.1084069,1.094381,0.2717597,1.132817,-0.6643243,-0.3709618,0.5272288,0.3782729,135.5465,-0.7176499,-0.400739,0.5695496,0.114539,-0.09430428,0.03051357,0.1514713,0.3541595,-0.1453504,0.5120659,0.7689167,79.48658,0.5539378,-0.2273412,0.8009177,-0.07447486,-0.4390929,-0.3248916,0.5512745,-0.2617388,-0.5617191,0.1098416,-0.7771095,281.9934,-0.4158774,-0.8925168,0.1745276,-0.008406915,0.005619287,0.02824035,0.02999617,-0.05830987,0.5629289,-0.7072334,-0.4237123,230.1384,-0.06437411,0.6214736,-0.7807858
Release,1772879591351,15.91686,1,0.1350317,1.123544,0.2322077,1.155208,-0.7499899,-0.6434281,0.1456833,0.04787384,174.512,-0.7508509,-0.6441667,0.1458506,0.1120685,-0.08299704,0.03875408,0.1447402,-0.103597,-0.3990818,0.05578642,0.9093345,49.1729,-0.248992,-0.9591795,0.1340808,-0.08187166,-0.4050047,-0.3906065,0.5685993,0.425297,-0.6464655,-0.1522067,-0.6148478,255.8817,0.5392751,-0.819716,-0.1929975,-0.03503174,-0.02354431,0.06779228,0.07985832,0.235564,0.2592326,-0.5242493,-0.7761899,281.8261,0.3736151,0.4111545,-0.8314828
Grab,1772879592476,17.03909,1,0.1328872,1.123382,0.2415081,1.156707,-0.7653594,-0.5984197,0.1083919,-0.2106421,204.32,-0.7829257,-0.6121544,0.1108797,0.1120685,-0.08299704,0.03875408,0.1447402,-0.103597,-0.3990818,0.05578642,0.9093345,49.1729,-0.248992,-0.9591795,0.1340808,-0.08187166,-0.4050047,-0.3906065,0.5685993,0.425297,-0.6464655,-0.1522067,-0.6148478,255.8817,0.5392751,-0.819716,-0.1929975,-0.03288723,-0.02338171,0.05849196,0.07106042,0.1936571,0.004496099,-0.5119445,-0.8368927,293.6269,0.3537977,0.008214052,-0.935286
On Target,1772879594282,18.86169,1,0.09531614,1.104084,0.2864165,1.144606,-0.283218,-0.8763734,0.01060701,-0.3894162,225.8363,-0.3074907,-0.9514815,0.01151607,0.1137955,-0.05204168,0.03364452,0.1295751,-0.5557991,-0.4222294,-0.2235493,0.6803202,94.26266,-0.7583404,-0.5760959,-0.3050139,-0.09243664,-0.4526706,-0.3278478,0.5665151,0.8155618,-0.1040089,-0.2588606,-0.5069833,240.9262,0.946176,-0.1206661,-0.3003177,0.00468386,-0.004084349,0.01358351,0.01493761,0.0682511,-0.02756996,0.04399599,-0.9963163,350.161,0.7958792,-0.3214945,0.5130393
