Trial Num,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,20.98629,False,-0.001032442,-0.002588987,0.004379481,0.005191208,0.008348531,-0.05352742,-0.04861666,-0.9973472,351.6515,0.1146935,-0.7353684,-0.6679035,0.5425291,0.5603477,0.516732,0,0,0,1.874411,384.8146,0,0,0.5910813,804.9897,0.5712988,818.9241,0,0,0.3151418,67.90898,17.63406,0
2,30.00007,True,0.008319058,-0.01785529,0.007937104,0.02123713,-0.02383141,-0.02842277,-0.08191952,-0.9959486,349.6814,-0.2650143,-0.316072,-0.9109762,1.199221,1.042806,1.305618,0,0,0,2.15515,1737.764,0,0,0.9852591,1664.166,1.295432,2381.149,0,0,0.2614575,66.2878,12.52748,0
3,20.66914,False,0.004109435,0.0008692741,0.004001409,0.005801238,-0.04390446,0.0409357,0.05817707,0.9965,9.590278,-0.5252162,0.4897017,0.6959552,0.4125015,0.461899,0.4899268,0,0,0,1.142769,595.0129,0,0,0.5600253,800.413,0.5243757,982.1354,0,0,0.2771202,57.61281,15.07212,0
4,18.61081,False,0.003628664,-0.01095116,0.008582681,0.01437907,-0.01631009,-0.03008311,0.01029475,0.9993613,4.095688,-0.4564321,-0.8418651,0.2880948,0.6517511,0.7118664,0.9186472,0,0,0,1.525175,1015.202,0,0,0.8143781,1066.407,0.8597806,1344.497,0,0,0.3043889,63.30552,9.24024,0
5,22.98745,False,0.0008009896,0.0001645088,-0.001550466,0.001752881,0.0170462,0.04052422,0.01689008,0.9988905,5.398723,0.3619526,0.8604762,0.3586378,0.6833751,0.7599908,0.9203513,0,0,0,2.176938,1146.069,0,0,0.8861161,1128.493,1.034521,1600.321,0,0,0.2917859,66.23891,11.52159,0
6,17.25281,False,-0.000323385,-0.001608133,0.006918937,0.007110721,-0.01968934,0.03585635,0.04171456,0.9982919,6.69873,-0.337007,0.613725,0.7139953,0.4614804,0.5835295,0.9839962,0,0,0,1.144756,501.5814,0,0,0.6333236,956.5807,0.7084687,1005.31,0,0,0.1868045,41.98234,12.43506,0
7,12.50252,False,0.001076616,-0.007430911,0.0164876,0.0181168,-0.04548239,-0.02178029,-0.009267245,0.9986848,5.877831,-0.8870931,-0.4248049,-0.1807493,0.4035983,0.468285,0.547622,0,0,0,0.9593424,494.94,0,0,0.4235628,576.493,0.6702686,750.7036,0,0,0.1698157,37.17008,7.675005,0
8,22.90508,False,-0.00188636,0.002207041,0.003223091,0.004337938,-0.05554859,-0.01435361,-0.03161816,-0.9978521,352.488,-0.8479726,-0.2191139,-0.4826645,0.7475467,0.7256444,0.9080153,0,0,0,1.545438,873.2396,0,0,0.7956541,1079.305,1.015187,1389.096,0,0,0.2424026,56.36742,13.61418,0
9,14.12547,False,0.003577121,-0.003770709,0.01159057,0.01270257,0.01748861,0.02615449,0.01875114,0.999329,4.198009,0.4774919,0.7140966,0.511963,0.4776952,0.4800109,0.6010143,0,0,0,1.110925,427.0732,0,0,0.6543208,788.2371,0.6950957,838.2581,0,0,0.251181,80.05762,8.331797,0
10,10.04256,False,0.001222081,-6.914139E-05,0.007381678,0.007482475,-0.02682312,-0.001373024,-0.02233688,-0.9993896,355.9963,-0.7678726,-0.03930593,-0.6394438,0.4803059,0.3356062,0.3302459,0,0,0,0.883005,529.9991,0,0,0.4075756,613.5786,0.6960799,820.6923,0,0,0.08057173,23.27995,5.28148,0
