Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772879631890,0.0139452,0.1437442,1.180482,0.1757399,1.202117,0.002320802,-0.8153684,0.1890806,0.5471907,113.651,0.002772736,-0.9741465,0.2259006,-0.09728733,0.62762,-0.0571497,0.6376816,0.5076264,0.2410821,-0.7825648,0.2679316,148.9176,0.5268906,0.2502311,-0.8122628,0.09700422,1.113549,0.2795755,1.1522,0.09409391,1.135064,0.3177256,1.182444,0.1141935,1.125649,0.3158241,1.174679,0.007678883,0.6378965,0.02260257,0.638343,0.004606556,0.6431012,0.08327824,0.6484872,-0.01732833,0.62739,0.1111422,0.637394,0.09789921,-0.08405066,0.02824369,0.1320851,0.137513,-0.07512747,0.01157287,0.1571238,0.125839,-0.08752261,-0.002791196,0.1533084,-0.1112597,0.05370388,-0.04712853,0.1322268,-0.1671659,0.04142156,-0.0261118,0.1741896,-0.1826795,0.03554933,0.008948475,0.1863213,0.09721018,-0.08456257,0.02847022,0.1319515,0.136103,-0.07581366,0.01180878,0.1562408,0.125855,-0.08771612,-0.002635594,0.1534293,-0.1114534,0.05371805,-0.04566126,0.1318804,-0.1670858,0.041434,-0.02592594,0.1740879,-0.1828328,0.03519893,0.008978019,0.1864066,0.1118967,-0.08327967,0.01821276,0.1406701,-0.2576505,0.8946514,-0.1387811,0.337572,140.542,-0.2737178,0.9504427,-0.1474356,-0.1410708,0.04619316,-0.02468245,0.1504793,0.08245242,-0.442193,0.06202554,0.8909657,54.01031,0.181585,-0.973842,0.1365989,-0.09893148,1.098796,0.2988742,1.143007,0.05388837,0.02966681,-0.03851192,0.9973629,8.323874,0.7425147,0.4087718,-0.5306463,0.1120212,-0.08259667,0.02777077,0.1419231,0.6594782,-0.6650348,-0.06179113,0.3449626,139.641,0.7026067,-0.7085266,-0.06583213,-0.4723848,-0.2743212,-0.3153556,0.6307524,0.5887365,0.6523352,0.2771797,-0.3886127,225.7364,0.6389576,0.7079815,0.300824,0.1989315,0.001204491,0.001125813,0.1989383,0.2051036,-0.204506,-0.8591486,0.4218691,130.0947,0.2262196,-0.2255606,-0.9476007,-0.1505934,1.209455,-0.06737241,1.220655,0.03122801,-0.001206155,-0.149667,-0.9882425,342.4106,0.2042453,-0.0078888,-0.9788898,True,True,False,False
1772879631904,0.0291835,-0.008414809,1.048109,0.2143474,1.069835,-0.3237815,-0.7865215,0.3702811,0.3734185,136.1468,-0.3490292,-0.8478526,0.3991548,-0.09965602,0.6431735,-0.05689862,0.6533306,0.519499,0.2180747,-0.786274,0.2536484,150.613,0.5370628,0.2254476,-0.8128572,-0.1111468,1.076938,0.2957093,1.122316,-0.1103827,1.1241,0.309405,1.171118,-0.09163197,1.120326,0.3231501,1.169595,0.002634229,0.6494125,0.0282308,0.6500311,0.001710486,0.6530687,0.08266729,0.6582823,-0.02162427,0.6400319,0.1114338,0.65002,0.1034813,-0.07609993,0.03879651,0.1341818,0.1449145,-0.06286996,0.01597778,0.1587707,0.1371361,-0.0717832,-0.004389286,0.1548496,-0.1139541,0.0523763,-0.04494912,0.1332262,-0.1647712,0.04463869,-0.02663776,0.1727765,-0.1814708,0.03787934,0.008253686,0.1855656,0.0977154,-0.0838808,0.02930212,0.1320716,0.1368128,-0.0747709,0.01214464,0.1563839,0.1267638,-0.08643254,-0.002776874,0.1534515,-0.1116549,0.05360996,-0.04560389,0.131987,-0.1668993,0.04169217,-0.02598329,0.1739792,-0.1827231,0.03541486,0.008919666,0.1863371,0.1123782,-0.08244568,0.01875786,0.1406343,-0.2555645,0.8970345,-0.1287635,0.3368026,140.6356,-0.2714223,0.9526954,-0.1367532,-0.1412759,0.04619097,-0.02456249,0.1506512,0.08268058,-0.4414814,0.05848298,0.8915368,53.86599,0.1825387,-0.9746841,0.1291163,-0.09873927,1.099184,0.2984219,1.143246,0.07814315,0.0232916,-0.04551829,0.9956301,10.71666,0.8367906,0.2494165,-0.4874295,0.1155109,-0.06458425,0.01983201,0.1338178,0.3237452,0.7880411,-0.4164645,0.3173918,142.9895,0.3413973,0.8310089,-0.4391721,-0.4087444,-0.3814518,-0.1469315,0.5780712,-0.5193881,-0.1876105,0.7707718,0.317725,142.9492,-0.547772,-0.1978632,0.8128936,0.1987393,0.00081563,0.001578152,0.1987472,0.1992169,-0.1827316,-0.8588973,0.4349912,128.4305,0.2212453,-0.2029371,-0.9538695,-0.1511173,1.209369,-0.06723311,1.220627,0.03144426,-0.001408866,-0.1503264,-0.9881353,342.3304,0.2047339,-0.009173144,-0.9787768,True,True,False,False
1772879631918,0.0452857,-0.00830343,1.047951,0.21408,1.069627,-0.331741,-0.7831954,0.3666562,0.3769829,135.7061,-0.3581665,-0.8455823,0.3958628,-0.1001796,0.6435092,-0.05677139,0.6537301,0.5192698,0.2173053,-0.786395,0.2544019,150.5237,0.5369357,0.2246982,-0.8131487,-0.1109494,1.079975,0.2946067,1.124922,-0.1089492,1.124964,0.3092744,1.171778,-0.08969863,1.120104,0.3224518,1.169039,0.001773553,0.650422,0.02866901,0.651056,0.001184855,0.6536375,0.08270118,0.6588497,-0.0220939,0.6406233,0.1114899,0.6506276,0.1043329,-0.07498764,0.03921418,0.1343364,0.1442496,-0.06360361,0.01640591,0.1585008,0.1354141,-0.07226988,-0.003957838,0.1535434,-0.1142068,0.05180962,-0.04488724,0.1332002,-0.164675,0.04475438,-0.02662948,0.1727134,-0.1813879,0.03805397,0.008239493,0.1855197,0.09829363,-0.08310373,0.03016823,0.1322044,0.1374626,-0.07379511,0.01251699,0.1565196,0.1275197,-0.08519502,-0.002880066,0.1533876,-0.1118779,0.05345264,-0.04554127,0.1320903,-0.166705,0.04195975,-0.02603975,0.1738656,-0.1826064,0.03564547,0.008860233,0.1862638,0.1129116,-0.08157679,0.019298,0.1406279,-0.2519217,0.9003689,-0.119738,0.3339673,140.9805,-0.2672669,0.9552128,-0.1270316,-0.1414999,0.04616547,-0.0244318,0.1508323,0.08284172,-0.4406751,0.05433169,0.8921832,53.70224,0.1834105,-0.9756491,0.1202897,-0.09861154,1.100193,0.297319,1.143918,0.1108837,0.006999431,-0.048499,0.9926246,13.926,0.9146686,0.0577376,-0.4000633,0.1148978,-0.06534725,0.02110097,0.1338545,0.3326403,0.7750021,-0.4356881,0.3144808,143.341,0.3504192,0.8164244,-0.4589747,-0.4093247,-0.3803078,-0.1470498,0.5777581,-0.505546,-0.1726152,0.776265,0.3347243,140.8885,-0.5364929,-0.1831819,0.8237839,0.1986115,-0.0001932383,0.002681017,0.1986297,0.1991656,-0.1485563,-0.8584626,0.4486715,126.683,0.222856,-0.1662267,-0.9605749,-0.1515839,1.209362,-0.06711525,1.220672,0.03154399,-0.001790436,-0.1512405,-0.987992,342.2238,0.2041614,-0.0115882,-0.97887,True,True,False,False
1772879631932,0.0602824,-0.007681053,1.048388,0.2126558,1.069766,-0.3395487,-0.7802801,0.3628516,0.3797478,135.3639,-0.3670439,-0.8434639,0.3922338,-0.1020606,0.6450963,-0.05641744,0.6555521,0.5187231,0.2169453,-0.7865469,0.2553531,150.411,0.5365095,0.224384,-0.8135166,-0.1103905,1.082952,0.2924131,1.127154,-0.1075732,1.125749,0.3078625,1.172033,-0.08733691,1.119694,0.3198472,1.167752,-0.0007960552,0.6531392,0.02964407,0.6538121,-0.0007249676,0.6558662,0.0831116,0.6611116,-0.02396337,0.6427249,0.1118726,0.6528285,0.1048555,-0.07435783,0.03976609,0.1345552,0.1433204,-0.06471483,0.01727992,0.1582003,0.1328592,-0.07250998,-0.003204152,0.1513919,-0.1147454,0.05066032,-0.04464105,0.1331382,-0.164804,0.04450738,-0.02668308,0.172781,-0.1814363,0.03793673,0.008246899,0.1855433,0.09889652,-0.08230018,0.03105005,0.1323554,0.1380008,-0.07296084,0.01295459,0.1566376,0.1280103,-0.08402955,-0.002909842,0.1531537,-0.1121413,0.05319609,-0.04545856,0.1321816,-0.1665303,0.04219382,-0.02609886,0.1737637,-0.1824989,0.03585598,0.008803882,0.1861962,0.113447,-0.08072549,0.01983266,0.1406419,-0.245698,0.9049577,-0.110743,0.329272,141.5508,-0.2602085,0.958403,-0.1172833,-0.141763,0.04607305,-0.02428131,0.1510266,0.08285423,-0.4398122,0.04955059,0.892886,53.52369,0.1840048,-0.9767458,0.1100432,-0.09855849,1.100655,0.2969887,1.144272,0.1219996,-1.300499E-05,-0.0489565,0.9913221,15.10739,0.9280685,-9.893081E-05,-0.3724191,0.1147756,-0.06667992,0.02236744,0.1346104,0.3438492,0.7534167,-0.4627365,0.3162371,143.129,0.36245,0.7941735,-0.4877687,-0.4093662,-0.3777589,-0.148231,0.5764155,-0.4815666,-0.1515002,0.7887864,0.350653,138.9455,-0.5142165,-0.1617718,0.8422657,0.1985585,-0.0006554127,0.003011286,0.1985824,0.2004699,-0.1361771,-0.8578996,0.453074,126.1178,0.2248749,-0.1527552,-0.9623396,-0.1520541,1.209368,-0.06692445,1.220726,0.03175338,-0.00258472,-0.1518281,-0.9878934,342.1508,0.2046832,-0.01666118,-0.9786885,True,True,False,False
1772879631946,0.07305861,-0.007491354,1.048395,0.2122803,1.069697,-0.3483058,-0.7775162,0.3583737,0.3817328,135.1179,-0.3768431,-0.8412195,0.3877358,-0.1027542,0.6455457,-0.05657185,0.6561159,0.5180575,0.2169461,-0.7866804,0.2562908,150.2998,0.5359586,0.2244426,-0.8138636,-0.1100291,1.084775,0.2916858,1.128682,-0.1060663,1.126118,0.307296,1.172101,-0.08608406,1.120886,0.3189227,1.16855,-0.001725873,0.6540966,0.02968206,0.654772,-0.001388978,0.6568002,0.08296025,0.6620203,-0.02467591,0.6437181,0.1117982,0.65382,0.1047456,-0.07464074,0.03999834,0.134695,0.1419725,-0.06573674,0.01755984,0.1574353,0.1323966,-0.07257047,-0.003017738,0.1510114,-0.11495,0.05028804,-0.04446559,0.1331149,-0.1648956,0.04436783,-0.02667842,0.1728317,-0.1815453,0.03768975,0.008296423,0.1856018,0.0994002,-0.0816406,0.03182062,0.1325071,0.1383428,-0.07233875,0.01335116,0.156684,0.128388,-0.08304277,-0.002919133,0.1529317,-0.1123832,0.05294567,-0.04537305,0.1322571,-0.1663895,0.04238103,-0.02614877,0.1736818,-0.1824168,0.03601389,0.008760183,0.1861441,0.1138426,-0.08004139,0.02030554,0.1406381,-0.2396779,0.9089964,-0.1027699,0.3251437,142.0514,-0.2534491,0.9612249,-0.1086748,-0.142008,0.04596747,-0.02413769,0.1512015,0.08298225,-0.4390644,0.04508743,0.8934784,53.3727,0.184772,-0.9776405,0.1003937,-0.09825641,1.101367,0.2963147,1.144756,0.1367814,-0.01131185,-0.05328947,0.9891022,16.93295,0.9290285,-0.07683086,-0.3619457,0.1141715,-0.06798346,0.02330339,0.1349071,0.3537854,0.7440944,-0.4688132,0.3183924,142.8685,0.3732074,0.7849436,-0.49455,-0.4101108,-0.3766427,-0.148651,0.5763226,-0.4716633,-0.1444544,0.7937806,0.3557799,138.3175,-0.5046849,-0.1545678,0.8493539,0.1982564,-0.001366735,0.003685296,0.1982954,0.2029107,-0.1198189,-0.8547936,0.4623837,124.9179,0.2288432,-0.1351321,-0.9640385,-0.1524008,1.209381,-0.06684761,1.220778,0.03173434,-0.003239116,-0.1523037,-0.9878188,342.0959,0.2039372,-0.02081582,-0.9787626,True,True,False,False
1772879631959,0.08672561,-0.006744899,1.048957,0.2115983,1.070108,-0.3582424,-0.7756267,0.3523453,0.3819928,135.0856,-0.3876388,-0.8392726,0.3812579,-0.1034906,0.6460803,-0.05704357,0.6567983,0.5173497,0.2169644,-0.7867287,0.2575537,150.1501,0.5354124,0.2245394,-0.8141963,-0.1096758,1.085714,0.2903834,1.129215,-0.1044154,1.126684,0.3064858,1.172285,-0.08457491,1.121006,0.3172678,1.168104,-0.002839682,0.6550348,0.02952994,0.6557063,-0.00209697,0.6576048,0.08234279,0.6627433,-0.02542112,0.6446585,0.1113221,0.6546934,0.1035891,-0.07592292,0.0407173,0.1347326,0.1404877,-0.06734239,0.01768708,0.1567949,0.1305137,-0.07331195,-0.002487525,0.1497152,-0.1151865,0.04997686,-0.04404718,0.133063,-0.1647911,0.04450221,-0.02656107,0.1727485,-0.1815354,0.03765348,0.008426763,0.1855906,0.09971148,-0.08121572,0.03248173,0.1326402,0.1385022,-0.07196748,0.01367337,0.1566817,0.1285459,-0.08231967,-0.00288706,0.1526726,-0.1125915,0.05272506,-0.04527453,0.1323124,-0.1662707,0.04253865,-0.0261794,0.1736112,-0.1823513,0.03613573,0.008735406,0.1861024,0.1140414,-0.07959155,0.02072903,0.1406057,-0.2341016,0.9124789,-0.09575398,0.3215742,142.4837,-0.2472336,0.9636647,-0.1011253,-0.142223,0.04586906,-0.02399308,0.1513507,0.08323106,-0.4384628,0.04104048,0.8939456,53.25338,0.1857109,-0.9783283,0.09157234,-0.09820297,1.101993,0.2958574,1.145235,0.1510023,-0.02233671,-0.05804976,0.9865747,18.79821,0.9246329,-0.1367744,-0.3554563,0.1133632,-0.06976739,0.02406862,0.1352701,0.3612694,0.7337493,-0.4790054,0.3188265,142.8161,0.381161,0.7741498,-0.5053797,-0.4111688,-0.3751889,-0.1494956,0.5763466,-0.4560219,-0.1374728,0.799959,0.3649808,137.1872,-0.4898115,-0.147659,0.8592331,0.198203,-0.001992702,0.004142642,0.1982563,0.2051531,-0.1040863,-0.8512033,0.4717323,123.7064,0.232668,-0.1180462,-0.9653656,-0.1526301,1.209296,-0.06686769,1.220722,0.03159596,-0.003922537,-0.1528698,-0.9877334,342.033,0.2023436,-0.02512031,-0.9789929,True,True,False,False
1772879631974,0.1008824,-0.006279707,1.048923,0.2118252,1.070117,-0.3699123,-0.7753876,0.3423106,0.3804765,135.2736,-0.3999957,-0.8384467,0.3701493,-0.1034403,0.6461149,-0.05711626,0.6568308,0.5168896,0.2168063,-0.7867301,0.2586042,150.0255,0.5350916,0.224441,-0.8144344,-0.1095169,1.087423,0.2894095,1.130593,-0.1035611,1.127298,0.30612,1.172704,-0.08401468,1.120532,0.3165703,1.167419,-0.002743846,0.6554666,0.02937934,0.6561304,-0.002073307,0.6580223,0.08221777,0.6631421,-0.02533465,0.6450335,0.1112115,0.6550406,0.1033378,-0.07641385,0.04051825,0.1347572,0.1396245,-0.06850588,0.01759641,0.1565174,0.1289627,-0.07420209,-0.002175242,0.1488021,-0.1151766,0.04993807,-0.04415044,0.1330741,-0.164765,0.04448823,-0.02653885,0.1727166,-0.1815026,0.03770037,0.008449949,0.1855691,0.09999825,-0.08083598,0.03311727,0.1327812,0.138591,-0.07169373,0.01398361,0.156662,0.1285789,-0.08167772,-0.002830769,0.1523542,-0.1127959,0.05250466,-0.04518563,0.1323684,-0.1661517,0.04269283,-0.02620783,0.1735394,-0.1822842,0.03625946,0.008712832,0.1860596,0.1142025,-0.07919901,0.02113171,0.1405747,-0.2278874,0.9161759,-0.08896285,0.3174501,142.9824,-0.2403179,0.9661501,-0.09381546,-0.1424317,0.04577307,-0.02385494,0.1514959,0.08342558,-0.4378273,0.03702417,0.8944141,53.13345,0.1865344,-0.9789547,0.08278374,-0.09784773,1.102907,0.2953996,1.145966,0.1709424,-0.03632254,-0.07494371,0.981755,21.9231,0.8989867,-0.1910203,-0.3941292,0.11272,-0.07094073,0.02427438,0.1353796,0.3697418,0.7262629,-0.4851495,0.3169595,143.0417,0.3898424,0.7657454,-0.5115241,-0.4117163,-0.3747894,-0.1498836,0.5765783,-0.4407418,-0.1308792,0.8054399,0.3740106,136.0737,-0.475232,-0.1411211,0.8684695,0.1978477,-0.002907038,0.004600376,0.1979226,0.2043552,-0.08496067,-0.8415501,0.4927618,120.9555,0.2348467,-0.0976375,-0.9671164,-0.1528555,1.209181,-0.06694025,1.220641,0.03163228,-0.004495689,-0.1535973,-0.9876169,341.9478,0.2016274,-0.02865599,-0.9790449,True,True,False,False
1772879631987,0.1146389,-0.005227707,1.049695,0.2122233,1.070946,-0.3815989,-0.7761455,0.3299904,0.3782684,135.5471,-0.4122291,-0.8384452,0.3564782,-0.1031779,0.6457812,-0.05718952,0.6564676,0.5165739,0.2165361,-0.7866884,0.2595859,149.909,0.5349106,0.2242225,-0.8146134,-0.1094119,1.08876,0.2881225,1.131541,-0.10217,1.127732,0.3061272,1.173001,-0.0834356,1.119808,0.3166841,1.166713,-0.002421623,0.6556063,0.02922433,0.6562617,-0.001834463,0.6580206,0.08207466,0.6631219,-0.0249103,0.6448345,0.1109546,0.6547846,0.1023723,-0.07731416,0.04103173,0.1346891,0.1381637,-0.07011883,0.01731254,0.1559024,0.1271147,-0.07604441,-0.001871437,0.1481364,-0.1151676,0.04984725,-0.04435509,0.1331003,-0.1647046,0.04452413,-0.02654815,0.1726696,-0.1813378,0.03801557,0.008400261,0.18547,0.1001922,-0.0805483,0.03376375,0.1329153,0.1385561,-0.07156508,0.01425553,0.1565968,0.1284593,-0.08121757,-0.002752407,0.1520055,-0.1129897,0.05228759,-0.04511779,0.1324246,-0.1660335,0.04284242,-0.02623563,0.1734673,-0.1822069,0.03640291,0.0086873,0.1860107,0.1142539,-0.078926,0.02153865,0.1405246,-0.2220408,0.9198023,-0.08333842,0.3125961,143.5685,-0.2337552,0.968329,-0.08773516,-0.1426196,0.04568946,-0.02373757,0.151629,0.08335233,-0.4371576,0.03328477,0.8948954,53.01,0.1867731,-0.9795681,0.0745834,-0.09792103,1.103817,0.2947892,1.146691,0.1908955,-0.051562,-0.09160467,0.9759656,25.17432,0.8759705,-0.2366047,-0.4203503,0.1118373,-0.07223389,0.02455679,0.1353822,0.3691454,0.7204341,-0.4988554,0.3095963,143.9302,0.3882193,0.7576593,-0.5246315,-0.4124143,-0.374846,-0.1507204,0.5773315,-0.4179722,-0.1262498,0.8086595,0.3942464,133.562,-0.4548095,-0.1373766,0.8799294,0.197921,-0.003816843,0.005210787,0.1980264,0.2044262,-0.0650606,-0.8308323,0.5135123,118.2039,0.2382362,-0.07582094,-0.9682432,-0.1530462,1.209162,-0.06688868,1.220643,0.03133079,-0.004987989,-0.1541343,-0.9875404,341.892,0.1990957,-0.03169685,-0.9794673,True,True,False,False
1772879632000,0.1283204,-0.004737133,1.049403,0.2130816,1.070828,-0.3958972,-0.7777434,0.3119801,0.3755648,135.8815,-0.4271676,-0.8391743,0.3366222,-0.1030822,0.6455005,-0.05718432,0.656176,0.5162969,0.2160591,-0.7865924,0.2608228,149.7622,0.5348084,0.2238057,-0.8147951,-0.1097417,1.090814,0.28672,1.133193,-0.1018307,1.128758,0.3060769,1.173946,-0.08374281,1.119398,0.3168561,1.166389,-0.002323938,0.655794,0.02919197,0.6564475,-0.001839656,0.6581839,0.08209319,0.6632863,-0.02485715,0.6449411,0.1109359,0.6548845,0.1025005,-0.07732128,0.04096892,0.1347716,0.1380861,-0.07078938,0.01713479,0.1561169,0.1264474,-0.07692967,-0.001781255,0.1480212,-0.1151524,0.04979452,-0.04449139,0.1331129,-0.1646903,0.04452605,-0.02652691,0.1726533,-0.1812741,0.03811527,0.008415349,0.1854289,0.1003758,-0.08029156,0.03433698,0.1330454,0.1385187,-0.07150337,0.01448459,0.1565566,0.1282992,-0.08087643,-0.002675144,0.1516867,-0.1131617,0.05208924,-0.04506795,0.1324764,-0.1659266,0.04297636,-0.0262588,0.1734017,-0.1821327,0.03653914,0.008665664,0.1859637,0.1143078,-0.07870428,0.0218886,0.1404982,-0.216519,0.9231661,-0.07898659,0.3076443,144.1653,-0.2275551,0.9702204,-0.08301258,-0.1427819,0.04561685,-0.0236398,0.1517446,0.08320219,-0.4365042,0.02991587,0.8953472,52.89388,0.1868164,-0.9800959,0.06717099,-0.0980471,1.104906,0.2940508,1.147561,0.2100427,-0.0707052,-0.1049642,0.9694666,28.39009,0.8565355,-0.2883296,-0.4280348,0.111495,-0.07273164,0.02447793,0.1353521,0.3707445,0.7163964,-0.5077663,0.3024865,144.786,0.3889662,0.7516065,-0.5327225,-0.4130672,-0.3747415,-0.1513618,0.577898,-0.3937479,-0.121453,0.8116605,0.4140279,131.0838,-0.4325644,-0.1334261,0.8916758,0.1980471,-0.004905701,0.005949229,0.1981972,0.2087213,-0.04333288,-0.8195676,0.5318522,115.7386,0.2464716,-0.05117027,-0.9677983,-0.1532371,1.209147,-0.06684446,1.22065,0.03118495,-0.00558943,-0.1543377,-0.9875101,341.8699,0.1979295,-0.03547587,-0.9795744,True,True,False,False
1772879632016,0.1424508,-0.004403654,1.049524,0.2139205,1.071112,-0.4108663,-0.779433,0.2913522,0.3725411,136.2552,-0.4427364,-0.8398921,0.3139519,-0.1029509,0.6451787,-0.05720556,0.6558406,0.516333,0.214962,-0.7863887,0.2622683,149.5906,0.5350628,0.2227597,-0.8149146,-0.1096802,1.093625,0.285465,1.135577,-0.1015636,1.129638,0.3058059,1.174698,-0.08433811,1.119276,0.3168777,1.16632,-0.002345314,0.6559465,0.02928937,0.6566043,-0.001962576,0.65833,0.0821573,0.6634396,-0.02495541,0.6450714,0.110958,0.6550202,0.1027506,-0.07724592,0.04027464,0.1347096,0.1374541,-0.07153428,0.0170445,0.1558888,0.1257179,-0.07776369,-0.001667723,0.1478343,-0.1151671,0.04972333,-0.04453015,0.133112,-0.1646412,0.04457535,-0.02645633,0.1726083,-0.1811812,0.03825944,0.008479014,0.1853707,0.1005638,-0.08005048,0.034807,0.1331641,0.1384344,-0.07150581,0.01468723,0.156502,0.1280949,-0.08063003,-0.002595397,0.1513811,-0.1133205,0.05190196,-0.04502538,0.1325241,-0.1658249,0.04310294,-0.02627444,0.1733381,-0.1820573,0.03667532,0.008650889,0.1859161,0.1143632,-0.07852184,0.02216052,0.1404838,-0.2111807,0.9263079,-0.07574241,0.3026876,144.7618,-0.2215748,0.9718998,-0.07947037,-0.1429273,0.04555271,-0.02354985,0.1518482,0.08298059,-0.4358496,0.02675962,0.8957864,52.78076,0.1866894,-0.9805728,0.06020369,-0.09821494,1.106992,0.2923429,1.149149,0.2354033,-0.09552084,-0.1364876,0.9575135,33.52299,0.8162718,-0.3312229,-0.4732772,0.1108787,-0.07329138,0.02431858,0.1351188,0.3741579,0.7112235,-0.5143243,0.2993951,145.1574,0.392146,0.7454163,-0.5390511,-0.4140483,-0.3745074,-0.1518632,0.5785795,-0.3673149,-0.1159635,0.8165074,0.4300561,129.0578,-0.4068609,-0.1284484,0.9044144,0.1982149,-0.00699234,0.007657111,0.198486,0.2098976,-0.01759654,-0.7966326,0.5665772,110.9762,0.2547275,-0.0213548,-0.9667771,-0.1534111,1.209058,-0.06679234,1.220581,0.03121069,-0.006097538,-0.1543284,-0.9875077,341.8682,0.1980741,-0.03869713,-0.9794228,True,True,False,False
