Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772880145021,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0.5004017,0.03747754,0.7757235,0.3826834,135,0.5416309,0.0405654,0.8396371
Trial Start,1772880148828,0,1,-0.09570464,1.089077,0.3048396,1.134978,0.1291376,-0.1859622,-0.1287187,0.9654911,30.19187,0.4958514,-0.7140419,-0.494243,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1957046,0.01092291,-0.004839599,0.196069,0.2942834,-0.05723719,0.8961083,0.3272786,141.7926,0.3114347,-0.06057307,0.9483349
Grab,1772880148828,0,1,-0.09570464,1.089077,0.3048396,1.134978,0.1291376,-0.1859622,-0.1287187,0.9654911,30.19187,0.4958514,-0.7140419,-0.494243,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1957046,0.01092291,-0.004839599,0.196069,0.2942834,-0.05723719,0.8961083,0.3272786,141.7926,0.3114347,-0.06057307,0.9483349
Release,1772880149799,0.9722219,1,-0.02041586,1.095302,0.2827328,1.131389,0.6167765,-0.6084558,-0.4979148,-0.03806887,184.3634,0.6172239,-0.6088971,-0.498276,0.1029597,-0.05908524,0.0104816,0.1191706,0.1953034,0.6010807,-0.7324854,0.2530296,150.6863,0.2018726,0.6212987,-0.7571232,-0.2310292,-0.4206569,-0.2532917,0.5426632,0.8016027,0.2508775,0.3455628,0.4184255,130.5295,0.8825783,0.2762205,0.3804706,0.1204159,0.0046978,0.01726723,0.1217383,-0.7084127,-0.4961862,0.4886004,-0.11498,193.205,-0.7131424,-0.499499,0.4918625
Grab,1772880150841,2.014523,1,-0.022439,1.092739,0.2701551,1.125862,0.5344253,-0.6907593,-0.4299914,0.2287984,153.5473,0.5489878,-0.7095818,-0.4417082,0.1029597,-0.05908524,0.0104816,0.1191706,0.1953034,0.6010807,-0.7324854,0.2530296,150.6863,0.2018726,0.6212987,-0.7571232,-0.2310292,-0.4206569,-0.2532917,0.5426632,0.8016027,0.2508775,0.3455628,0.4184255,130.5295,0.8825783,0.2762205,0.3804706,0.122439,0.007260919,0.02984488,0.1262329,-0.6097478,-0.3568178,0.707721,-0.004457748,180.5108,-0.6097538,-0.3568213,0.707728
Release,1772880151368,2.541966,1,0.006190307,1.099141,0.2662225,1.130939,0.3238544,-0.2490573,-0.2874218,-0.8663011,300.0632,0.6483284,-0.4985912,-0.5753934,0.1092863,-0.05074875,0.002784307,0.1205267,-0.5191948,-0.1881849,-0.8336551,-0.006500023,180.7449,-0.5192059,-0.1881889,-0.8336729,-0.2404056,-0.3647923,-0.3041085,0.5323065,0.7164551,0.4209324,-0.5449278,0.1120785,167.1297,0.7209979,0.4236014,-0.548383,0.09380969,0.0008590221,0.03377748,0.09970915,-0.7398601,-0.3322045,-0.4252526,-0.4017557,227.376,-0.8079307,-0.3627689,-0.4643779
Grab,1772880152995,4.168043,1,0.005549558,1.098383,0.2727576,1.131757,0.3244368,-0.002467976,-0.204064,-0.9236301,314.9254,0.8464636,-0.006439012,-0.5324081,0.1092863,-0.05074875,0.002784307,0.1205267,-0.5191948,-0.1881849,-0.8336551,-0.006500023,180.7449,-0.5192059,-0.1881889,-0.8336729,-0.2404056,-0.3647923,-0.3041085,0.5323065,0.7164551,0.4209324,-0.5449278,0.1120785,167.1297,0.7209979,0.4236014,-0.548383,0.09445044,0.001616955,0.02724236,0.09831402,-0.5806093,-0.3874581,-0.6249956,-0.349499,220.9133,-0.6196889,-0.4135371,-0.6670628
Release,1772880153578,4.750706,1,0.01101485,1.107548,0.2677124,1.139498,-0.2817946,0.02727873,0.1894568,-0.9401883,320.1664,-0.8272133,0.08007725,0.5561539,0.1055766,-0.06985614,0.0199503,0.1281573,-0.5030196,-0.8352222,0.03746145,-0.2190251,205.3036,-0.5155373,-0.8560067,0.03839368,-0.2395982,-0.3902566,-0.2852377,0.5395073,0.2382255,0.2060411,-0.8573326,-0.4071564,228.0527,0.2608237,0.2255863,-0.9386596,0.08898515,-0.007548451,0.03228757,0.09496222,-0.3485734,0.2677241,-0.8260394,-0.3528166,221.3194,-0.3725298,0.286124,-0.8828107
Grab,1772880154396,5.56905,1,0.01249603,1.114276,0.2682291,1.146174,-0.3657563,0.06579983,0.1684603,-0.9129698,311.8381,-0.8964021,0.1612634,0.4128655,0.1055766,-0.06985614,0.0199503,0.1281573,-0.5030196,-0.8352222,0.03746145,-0.2190251,205.3036,-0.5155373,-0.8560067,0.03839368,-0.2395982,-0.3902566,-0.2852377,0.5395073,0.2382255,0.2060411,-0.8573326,-0.4071564,228.0527,0.2608237,0.2255863,-0.9386596,0.08750398,-0.01427627,0.03177091,0.09418147,-0.2721538,0.3086272,-0.8193131,-0.3992589,227.0637,-0.2968395,0.3366213,-0.8936288
Release,1772880154938,6.109996,1,0.0107274,1.089887,0.2542483,1.119202,-0.6706597,0.07550014,-0.2859212,-0.6802679,265.7292,-0.9149974,0.1030067,-0.3900893,0.1130837,-0.04928317,0.02101389,0.1251332,-0.6207664,-0.7039952,0.3001639,0.1701227,160.4101,-0.6299492,-0.7144092,0.3046042,-0.1704094,-0.397067,-0.3100625,0.5318273,0.2484749,-0.3640072,-0.8934525,-0.08661189,189.9374,0.2494121,-0.3653803,-0.8968226,0.0892726,0.01011252,0.04575169,0.100822,-0.01447401,0.3227836,-0.4811975,-0.8148928,289.1535,-0.02497189,0.5568962,-0.8302065
