Trial Num,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,24.93145,False,0.001560129,0.0003495216,0.008122474,0.00827833,-0.01664249,-0.05065747,-0.04337857,-0.9976348,352.1171,-0.2421192,-0.736978,-0.6310826,0.7306433,0.7056002,0.8775141,0,0,0,2.468136,1089.058,0,0,0.6873612,1050.197,0.7376671,1211.938,0,0,0.2658477,68.10159,10.86283,0
2,19.73419,False,0.001554064,-0.0003510714,0.003988355,0.004294805,-0.02001666,0.05411338,0.02688503,0.9979722,7.298961,-0.3144683,0.850139,0.4223727,0.4717419,0.5446185,0.5501984,0,0,0,0.9917785,535.9369,0,0,0.6189827,870.3854,0.670926,973.4887,0,0,0.3392125,54.60425,14.73797,0
3,10.29209,False,0.002588898,-0.004825115,0.01322547,0.01431423,-0.01282395,-0.04494062,0.04519646,0.9978843,7.455347,-0.1972481,-0.6912418,0.6951769,0.2906395,0.3690712,0.3719516,0,0,0,0.8966343,548.8628,0,0,0.4074887,569.2839,0.5258079,667.5648,0,0,0.09941356,23.78459,4.635324,0
4,9.83328,False,0.002109714,-0.002623796,0.006425887,0.007254463,0.0288954,0.008189937,-0.05093244,-0.9982504,353.2205,0.4886931,0.1385122,-0.8613942,0.343951,0.3099082,0.3237494,0,0,0,0.8181634,423.2741,0,0,0.3464203,520.2793,0.559613,702.6691,0,0,0.06508459,16.90155,3.708009,0
5,16.43026,False,0.003291778,-0.001400113,0.005064905,0.006200756,0.03097483,0.009134479,0.0502225,0.9982159,6.846051,0.5187742,0.1529865,0.841139,0.413812,0.3883763,0.4510935,0,0,0,1.08456,488.5292,0,0,0.3799211,500.2535,0.6286635,768.3546,0,0,0.09014764,19.08731,5.347427,0
6,16.1358,False,-0.0003326982,0.002106905,0.00751847,0.007815186,0.03016636,-0.05534833,0.02086213,0.9977934,7.614184,0.4543312,-0.8335933,0.3142016,0.4997538,0.5483679,0.6441121,0,0,0,1.37887,700.1625,0,0,0.6964169,871.1846,0.7443749,1008.442,0,0,0.2410217,58.28371,9.983027,0
7,9.290888,False,0.001193494,0.0006660223,0.004245222,0.004459811,0.04340357,-0.02462398,-0.0007493368,-0.9987539,354.2788,0.869701,-0.4934042,-0.01501487,0.3628628,0.3227926,0.3641949,0,0,0,0.8206517,408.0854,0,0,0.2868009,390.7251,0.4980955,651.5887,0,0,0.159801,33.62605,3.566326,0
8,10.48939,False,0.00769902,-0.007657766,0.0134182,0.01726164,0.005883812,0.07371292,0.03650701,-0.9965938,350.5392,0.07134734,0.8938459,0.4426855,0.3191857,0.310323,0.3719171,0,0,0,0.8903372,483.5253,0,0,0.4703707,526.4853,0.5299752,592.002,0,0,0.1851714,49.45644,6.163917,0
9,17.02839,False,-0.001667768,-0.001904249,-0.002192616,0.003348907,-0.030159,0.00833466,0.03066529,0.9990399,5.021844,-0.6884021,0.190245,0.6999585,0.5057384,0.5982951,0.6057622,0,0,0,1.406149,793.069,0,0,0.6102119,788.4356,0.8329243,1135.798,0,0,0.2350101,43.47233,10.58428,0
10,15.60987,False,-0.0004751086,0.001736641,0.001196146,0.002161577,-0.04448343,0.02860384,0.03092654,0.9981216,7.024695,-0.7260973,0.4668967,0.5048099,0.3218136,0.3406995,0.507182,0,0,0,0.9382277,457.8489,0,0,0.5425742,532.5535,0.5109004,685.5815,0,0,0.5214248,94.89811,8.940263,0
