Event Name,Timestamp,Trial Duration,Trial Num,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772879862425,0,1,-0.1,1.1,0.3,1.144552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,-0.8760705,0.01152236,-0.2931232,0.3826834,135,-0.9482519,0.01247171,-0.3172742
Trial Start,1772879868285,0,1,-0.2785542,1.079637,0.5578207,1.246745,-0.4921052,-0.2816824,-0.8236732,-0.00707479,180.8107,-0.4921175,-0.2816894,-0.8236938,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3785542,0.02036297,-0.2578207,0.4584642,0.2865768,0.685062,0.06483603,0.6666034,96.38909,0.384454,0.9190374,0.08698007
Grab,1772879868285,0,1,-0.2785542,1.079637,0.5578207,1.246745,-0.4921052,-0.2816824,-0.8236732,-0.00707479,180.8107,-0.4921175,-0.2816894,-0.8236938,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3785542,0.02036297,-0.2578207,0.4584642,0.2865768,0.685062,0.06483603,0.6666034,96.38909,0.384454,0.9190374,0.08698007
Release,1772879868352,0.0710928,1,-0.2883858,1.067024,0.5350342,1.227993,-0.5674007,-0.2826344,-0.7733429,0.01072053,178.7715,-0.5674334,-0.2826507,-0.7733874,0.09678688,-0.09352339,0.003822961,0.1346437,-0.8327201,0.1743732,-0.07033183,0.5207922,117.2292,-0.9754438,0.2042598,-0.08238632,-0.1823055,-0.4713761,-0.4829783,0.6990699,0.4406358,-0.8542367,-0.2658913,-0.07363235,188.4453,0.4418352,-0.8565618,-0.2666151,0.3883858,0.03297639,-0.2350342,0.4551615,0.2995003,0.6194677,0.03865759,0.7246137,87.12656,0.4345905,0.8988796,0.05609416
Grab,1772879869548,1.264843,1,-0.2883858,1.067024,0.5350342,1.227993,-0.5674008,-0.2826345,-0.773343,0.01072054,178.7715,-0.5674334,-0.2826507,-0.7733874,0.09678688,-0.09352339,0.003822961,0.1346437,-0.8327201,0.1743732,-0.07033183,0.5207922,117.2292,-0.9754438,0.2042598,-0.08238632,-0.1823055,-0.4713761,-0.4829783,0.6990699,0.4406358,-0.8542367,-0.2658913,-0.07363235,188.4453,0.4418352,-0.8565618,-0.2666151,0.3883858,0.03297639,-0.2350342,0.4551615,0.2995003,0.6194677,0.03865759,0.7246137,87.12656,0.4345905,0.8988796,0.05609415
Release,1772879871533,3.250631,1,0.05209242,1.050139,0.2541429,1.081709,0.006655074,0.1184552,-0.960223,-0.2527765,209.2838,0.006878454,0.1224312,-0.9924532,0.1111004,-0.05008466,0.02086262,0.1236407,-0.7279093,0.4674914,-0.3362938,0.3721644,136.3017,-0.7842439,0.5036718,-0.3623204,0.04840463,-0.04558234,-0.5192847,0.523524,0.6385525,-0.4219016,-0.3629204,0.5315437,115.7804,0.7538716,-0.4980946,-0.4284618,0.04790758,0.0498606,0.04585716,0.08297045,0.1952453,0.7949303,0.5454079,0.1802648,159.2296,0.1984971,0.8081697,0.5544915
Grab,1772879872520,4.235929,1,0.05209242,1.050139,0.2541429,1.081709,0.006655074,0.1184552,-0.960223,-0.2527765,209.2838,0.006878454,0.1224312,-0.9924532,0.1111004,-0.05008466,0.02086262,0.1236407,-0.7279093,0.4674914,-0.3362938,0.3721644,136.3017,-0.7842439,0.5036718,-0.3623204,0.04840463,-0.04558234,-0.5192847,0.523524,0.6385525,-0.4219016,-0.3629204,0.5315437,115.7804,0.7538716,-0.4980946,-0.4284618,0.04790758,0.0498606,0.04585716,0.08297045,0.1952453,0.7949303,0.5454079,0.1802648,159.2296,0.1984971,0.8081697,0.5544915
Release,1772879872853,4.568799,1,0.06231217,1.075619,0.2248778,1.10064,0.110546,0.5456954,-0.6518697,-0.5148419,241.9738,0.1289489,0.6365389,-0.7603883,0.09742893,-0.06399041,0.01856313,0.1180329,-0.7170199,0.3227013,-0.1179303,-0.6064973,254.6733,-0.9018148,0.4058699,-0.1483241,0.07895082,-0.05093677,-0.5288656,0.5371467,0.406037,0.02342801,-0.6353388,0.6564525,97.94025,0.5382484,0.0310565,-0.842214,0.03768783,0.02438152,0.07512216,0.08751097,0.2562888,0.3887266,0.8797132,-0.09650173,191.0755,0.2574905,0.3905493,0.8838382
Grab,1772879873908,5.624004,1,0.06231217,1.075619,0.2248778,1.10064,0.110546,0.5456954,-0.6518697,-0.5148419,241.9738,0.1289489,0.6365389,-0.7603883,0.09742893,-0.06399041,0.01856313,0.1180329,-0.7170199,0.3227013,-0.1179303,-0.6064973,254.6733,-0.9018148,0.4058699,-0.1483241,0.07895082,-0.05093677,-0.5288656,0.5371467,0.406037,0.02342801,-0.6353388,0.6564525,97.94025,0.5382484,0.0310565,-0.842214,0.03768783,0.02438152,0.07512216,0.08751097,0.2562888,0.3887266,0.8797132,-0.09650173,191.0755,0.2574905,0.3905493,0.8838382
Release,1772879874519,6.235771,1,0.07118896,1.11281,0.1973159,1.132408,0.4029987,0.2775818,0.447773,-0.7483581,276.8967,0.6075709,0.4184892,0.6750737,0.1048314,-0.04954481,0.04843384,0.1256588,0.0905504,-0.623951,0.07122023,-0.7729254,281.2346,0.1427121,-0.9833788,0.1122467,0.1227419,-0.04371446,-0.5542926,0.5694004,0.1228514,0.9474516,-0.2891195,0.06044192,173.0696,0.1230764,0.9491869,-0.289649,0.02881104,-0.01280987,0.1026841,0.107416,0.4148685,-0.3890012,0.2958305,-0.7674937,280.2587,0.6471637,-0.6068127,0.4614733
