Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772879931250,0.0138126,0.1466141,1.046358,0.1801309,1.071825,-0.4658309,-0.6761188,0.04268244,0.569248,110.6044,-0.56659,-0.8223631,0.05191463,-0.1423556,0.6081598,0.01445075,0.6247658,0.6182373,0.5495905,-0.5181423,0.2173975,154.8876,0.6333858,0.5630571,-0.5308383,0.07803634,1.0878,0.2883586,1.128073,0.1096103,1.109617,0.3254192,1.161534,0.1147915,1.094686,0.3350465,1.150553,-0.07653908,0.5899233,0.1302563,0.6089618,-0.05877317,0.5386885,0.1342721,0.5582728,-0.0536524,0.5194514,0.1150435,0.5347368,0.1014949,-0.08020528,0.03740948,0.1346609,0.1459435,-0.07137578,0.009253815,0.1627256,0.143266,-0.08242168,-0.005350143,0.1653696,-0.1194331,0.03022373,-0.05382913,0.1344445,-0.1487456,0.06053242,-0.01949366,0.1617697,-0.1412927,0.07674602,0.001662806,0.160799,0.1014171,-0.08007104,0.03872643,0.1348945,0.1464574,-0.07097215,0.009083141,0.163001,0.1442595,-0.08198231,-0.005631416,0.166023,-0.1194566,0.03015924,-0.05378705,0.134434,-0.1491823,0.06031132,-0.01947057,0.1620862,-0.1420701,0.07648759,0.001655683,0.1613598,0.1149358,-0.07941849,0.02665009,0.1422243,-0.3287608,0.8668259,-0.1484268,0.3442365,139.7296,-0.3501617,0.9232524,-0.1580887,-0.1285019,0.04640416,-0.03447763,0.140907,-0.3314395,-0.1548628,0.01581414,0.9305457,42.95991,-0.9051378,-0.4229193,0.04318729,-0.1001134,1.100048,0.2999361,1.144592,-0.004538527,-0.001607832,-0.005653827,0.9999725,0.8504125,-0.6115597,-0.2166529,-0.7618447,0.103657,-0.1836865,0.1832459,0.2794004,0.4658309,0.6761188,-0.04268244,0.569248,110.6044,0.56659,0.8223631,-0.05191463,-0.03372354,-0.1957765,-0.534578,0.5702977,-0.6182373,-0.5495905,0.5181423,0.2173975,154.8876,-0.6333858,-0.5630571,0.5308383,0.2001134,-4.792213E-05,6.389618E-05,0.2001134,-0.1116813,0.5177872,0.7592646,0.3780754,135.571,-0.1206355,0.5593014,0.8201396,-0.1584989,1.211803,-0.07617824,1.224497,0.05349371,0.004654778,-0.1808383,-0.982046,338.253,0.2835733,0.02467525,-0.9586344,True,True,False,False
1772879931265,0.0284043,-0.007788967,1.039706,0.2133502,1.061399,-0.359457,-0.807429,0.2959285,0.3623197,137.5146,-0.3856612,-0.86629,0.3175015,-0.1441487,0.6157019,0.01305947,0.6324857,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1128018,1.06886,0.2909461,1.113479,-0.1156854,1.126927,0.3049309,1.173172,-0.1018426,1.125942,0.3255751,1.176485,-0.07787777,0.5938454,0.1278795,0.61243,-0.06157484,0.5461358,0.133796,0.5656475,-0.05645338,0.5250086,0.1178003,0.5410156,0.1023716,-0.07921793,0.03381319,0.1337862,0.1551191,-0.05770762,0.01562586,0.1662416,0.1553917,-0.06844158,-0.006812632,0.1699331,-0.1207552,0.03239995,-0.04921009,0.1343622,-0.1492662,0.06030891,-0.01782202,0.1619728,-0.145083,0.07632203,0.003497697,0.1639706,0.1014933,-0.08000291,0.03833407,0.1347993,0.1471491,-0.0699129,0.00960562,0.163196,0.1451485,-0.08090099,-0.005725744,0.1662704,-0.1195603,0.03033818,-0.05342155,0.1344207,-0.149189,0.06031113,-0.01933892,0.1620765,-0.1423107,0.07647437,0.00180278,0.161567,0.1154582,-0.07902208,0.02623472,0.1423493,-0.3259507,0.8653898,-0.1414507,0.3533389,138.6167,-0.3484257,0.9250605,-0.151204,-0.1286458,0.04654339,-0.03415644,0.141006,-0.3311105,-0.1565273,0.01537633,0.9303917,43.00808,-0.9032746,-0.427009,0.04194686,-0.1002679,1.100182,0.2997622,1.144688,-0.01640463,-0.003990958,-0.01522955,0.9997416,2.605324,-0.7215922,-0.1755507,-0.669904,0.1244329,-0.06354534,0.01185423,0.1402216,0.3527618,0.8101996,-0.2948822,0.3635662,137.3613,0.3786752,0.8697156,-0.3165438,-0.04769296,-0.1977761,-0.5267246,0.5646493,-0.6147761,-0.5490454,0.5220237,0.2192966,154.6646,-0.6301141,-0.5627435,0.5350477,0.2002679,-0.0001819134,0.0002377927,0.2002681,-0.1040109,0.5286968,0.7563911,0.370856,136.4632,-0.1119974,0.5692927,0.8144705,-0.1587631,1.211986,-0.07657385,1.224736,0.05608799,0.005221559,-0.1820909,-0.9816669,338.0239,0.2942634,0.0273947,-0.9553323,True,True,False,False
1772879931278,0.0417654,-0.007091828,1.037879,0.2122155,1.059377,-0.3714252,-0.8076199,0.2788534,0.3633652,137.386,-0.398676,-0.8668735,0.2993123,-0.1441488,0.6157488,0.01311233,0.6325325,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.112488,1.069789,0.2880844,1.113595,-0.1141155,1.127337,0.3043848,1.173269,-0.1007172,1.1266,0.3246667,1.176767,-0.07789335,0.5938604,0.1279223,0.6124555,-0.06153276,0.5461686,0.1337662,0.5656676,-0.05640543,0.5250672,0.1177757,0.5410621,0.1029075,-0.07838161,0.03389713,0.133726,0.1560344,-0.05804998,0.01534173,0.1671882,0.1569822,-0.06775574,-0.006936312,0.1711209,-0.120758,0.03239906,-0.04917333,0.1343511,-0.1492051,0.06037602,-0.01779825,0.1619388,-0.145016,0.07638479,0.003495567,0.1639405,0.1016121,-0.07986675,0.03796145,0.1347026,0.1478953,-0.06891662,0.01008735,0.1634756,0.1461423,-0.07979701,-0.005827411,0.1666106,-0.1196609,0.03051126,-0.05306477,0.1344081,-0.1491904,0.06031658,-0.01920953,0.1620644,-0.1425379,0.07646684,0.001944945,0.1617653,0.1159846,-0.07858165,0.02587552,0.1424677,-0.3223782,0.8640864,-0.1345542,0.3623841,137.5066,-0.3458887,0.9271026,-0.144367,-0.1287836,0.04668018,-0.03384343,0.1411015,-0.3308211,-0.1581296,0.01488986,0.9302316,43.05812,-0.901486,-0.4309025,0.04057481,-0.1000693,1.099503,0.298866,1.143784,-0.02844514,-0.006603986,-0.03767132,0.9988634,5.464026,-0.5967801,-0.1385519,-0.7903458,0.1261144,-0.06465802,0.01192992,0.1422246,0.3519557,0.8161921,-0.2725488,0.3683408,136.7733,0.3785729,0.8779176,-0.2931607,-0.0474319,-0.197875,-0.5266547,0.5645967,-0.6107956,-0.5615861,0.5148266,0.2156473,155.093,-0.625513,-0.5751178,0.5272316,0.2000693,0.0004972219,0.001134008,0.2000731,-0.08977249,0.5409756,0.7578335,0.3535175,138.5948,-0.09596943,0.5783189,0.8101463,-0.1588045,1.21214,-0.07693978,1.224917,0.05811534,0.0057853,-0.1828946,-0.9813963,337.8618,0.3026954,0.0301329,-0.9526118,True,True,False,False
1772879931292,0.0562036,-0.005654786,1.034148,0.2099565,1.055261,-0.384791,-0.8078724,0.2584383,0.3639888,137.3093,-0.4131304,-0.8673711,0.277472,-0.1442081,0.6159712,0.01323972,0.6327652,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1112603,1.071695,0.2830495,1.114014,-0.11181,1.12663,0.3026222,1.171912,-0.09902433,1.125785,0.3226836,1.175297,-0.07794094,0.5938718,0.1279759,0.6124837,-0.06156098,0.5463986,0.1338552,0.5659137,-0.05643973,0.5252952,0.1178606,0.5413055,0.1052073,-0.0753727,0.03398959,0.1338092,0.1575566,-0.05793762,0.01509936,0.1685492,0.1590689,-0.06687255,-0.006912589,0.1726923,-0.1207871,0.03249783,-0.04897449,0.1343284,-0.149172,0.06041308,-0.01780386,0.1619228,-0.1449794,0.0764182,0.003495529,0.1639237,0.1018905,-0.07951869,0.03765383,0.1346206,0.1486436,-0.06806631,0.01047553,0.1638221,0.1471435,-0.07879604,-0.005911456,0.1670178,-0.1197481,0.03066511,-0.05274798,0.1343961,-0.149189,0.06032405,-0.01910066,0.162053,-0.142727,0.07646307,0.002065035,0.1619316,0.1165765,-0.07803917,0.02558918,0.1426008,-0.3181847,0.8634282,-0.1294813,0.3694384,136.638,-0.3424083,0.9291615,-0.1393388,-0.1289028,0.04680511,-0.03356517,0.1411853,-0.330595,-0.1595226,0.01438619,0.930082,43.10479,-0.899941,-0.4342502,0.03916189,-0.09948954,1.098901,0.2977844,1.142873,-0.0007218291,-0.01678232,-0.05481601,0.9983552,6.573285,-0.01259045,-0.2927244,-0.9561241,0.1289721,-0.06569695,0.01184729,0.1452248,0.3418596,0.8263972,-0.2514177,0.37012,136.554,0.367993,0.8895711,-0.2706372,-0.04695636,-0.1970546,-0.5256408,0.5633238,-0.5993489,-0.5818651,0.5045064,0.2183745,154.7729,-0.6141719,-0.5962556,0.5169837,0.1994895,0.001098752,0.002215564,0.1995049,-0.09925834,0.5255237,0.7770614,0.331886,141.2334,-0.1052224,0.5571005,0.8237521,-0.1588927,1.212333,-0.0772405,1.225138,0.0592813,0.005936351,-0.1838373,-0.9811495,337.7149,0.3067593,0.03071847,-0.9512917,True,True,False,False
1772879931306,0.0695572,-0.005464897,1.033047,0.2095006,1.05409,-0.3987567,-0.8078467,0.236085,0.3641987,137.2834,-0.4281623,-0.86742,0.2534947,-0.1442951,0.6161947,0.01330576,0.633004,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1109418,1.074551,0.280614,1.116115,-0.1102743,1.12695,0.3021662,1.171956,-0.09832198,1.124369,0.3225969,1.173858,-0.0780435,0.5939345,0.1279984,0.6125624,-0.06159364,0.5466329,0.1338547,0.5661435,-0.0564845,0.5255333,0.1178614,0.5415414,0.1062861,-0.07391921,0.03382783,0.13381,0.1574017,-0.05819046,0.0151094,0.1684925,0.1584901,-0.06774493,-0.00667268,0.1724906,-0.1208169,0.03254719,-0.0488175,0.1343101,-0.1491158,0.06047846,-0.01781177,0.1618963,-0.144921,0.0764711,0.003488958,0.1638966,0.1022561,-0.07905297,0.03733561,0.1345349,0.149372,-0.06724491,0.01086094,0.1641701,0.1480872,-0.07787689,-0.00597477,0.1674226,-0.119837,0.03082165,-0.05242107,0.1343832,-0.1491829,0.0603369,-0.01899346,0.1620396,-0.1429094,0.07646374,0.002183467,0.1620944,0.1172505,-0.07742952,0.02527539,0.142765,-0.3140687,0.8629713,-0.1257689,0.3752646,135.9187,-0.3388313,0.9310119,-0.1356851,-0.1290224,0.04693575,-0.03327848,0.14127,-0.3304018,-0.1609388,0.01373574,0.9299165,43.15639,-0.8983909,-0.4376063,0.03734867,-0.098677,1.098118,0.2962384,1.141647,0.02168576,-0.0335843,-0.07183345,0.9966152,9.431018,0.2637903,-0.4085266,-0.8737974,0.1282603,-0.06615474,0.01201572,0.1448155,0.3495929,0.8224345,-0.2617696,0.3645038,137.2459,0.3754212,0.8831968,-0.2811094,-0.04639445,-0.1958527,-0.524815,0.5620868,-0.5782877,-0.5798711,0.521804,0.2388591,152.3616,-0.5955256,-0.5971562,0.5373582,0.198677,0.001881599,0.00376159,0.1987215,-0.111665,0.5159979,0.791815,0.307093,144.2317,-0.1173347,0.5421971,0.8320186,-0.1589444,1.212468,-0.07743066,1.225291,0.05971928,0.005912475,-0.1845024,-0.9809982,337.6254,0.3078049,0.03047405,-0.9509615,True,True,False,False
1772879931321,0.0834528,-0.004849494,1.03217,0.2087716,1.053083,-0.4111676,-0.8078913,0.2157558,0.3629082,137.4422,-0.4412498,-0.866999,0.2315411,-0.1444396,0.6165298,0.01339458,0.633365,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1100798,1.077108,0.2780346,1.117848,-0.1088218,1.125915,0.3013543,1.170616,-0.09785562,1.122244,0.3219082,1.171594,-0.07820822,0.5941688,0.1280653,0.6128244,-0.06170179,0.5469834,0.1338844,0.5665006,-0.05659155,0.525919,0.1178354,0.5419211,0.1071499,-0.07268799,0.0335499,0.1337544,0.1562533,-0.05937796,0.01513372,0.1678388,0.157276,-0.0691967,-0.006284431,0.1719402,-0.120839,0.03256715,-0.04871667,0.1342981,-0.1490617,0.06052402,-0.01781876,0.1618643,-0.1448021,0.0765232,0.003471516,0.1638154,0.1026349,-0.07856027,0.03704257,0.1344537,0.1499047,-0.06663594,0.01119169,0.1644294,0.1487985,-0.07720497,-0.00599874,0.1677426,-0.1199146,0.03095677,-0.05213432,0.1343719,-0.1491735,0.06035138,-0.01890253,0.1620257,-0.1430559,0.07646835,0.002283172,0.1622271,0.1178694,-0.07687605,0.02497768,0.1429231,-0.3102981,0.8629058,-0.1239026,0.379153,135.4376,-0.3353364,0.9325344,-0.1339004,-0.1291241,0.04705188,-0.03302686,0.1413424,-0.3302779,-0.1621236,0.01309714,0.9297639,43.20391,-0.8971132,-0.4403662,0.03557495,-0.09762611,1.096307,0.293088,1.139,0.05338055,-0.04198748,-0.09626407,0.9930362,13.53146,0.4531074,-0.3564002,-0.8171134,0.127299,-0.06672671,0.01207199,0.1442333,0.3523662,0.8178255,-0.272423,0.3643973,137.259,0.3783824,0.878208,-0.2925368,-0.04556969,-0.194152,-0.5236899,0.5603773,-0.5542284,-0.5813766,0.5396892,0.2521269,150.7932,-0.5727309,-0.6007854,0.5577063,0.1976261,0.003692985,0.006912023,0.1977814,-0.1172304,0.4961128,0.8137404,0.2792054,147.5744,-0.1220856,0.5166596,0.847442,-0.1589891,1.212563,-0.07762064,1.225403,0.06034345,0.005497536,-0.1846801,-0.980929,337.5846,0.3104625,0.02828441,-0.9501655,True,True,False,False
1772879931333,0.09891549,-0.003427532,1.031425,0.206794,1.051956,-0.4221858,-0.8073363,0.1977778,0.3617335,137.5866,-0.4528523,-0.8659791,0.2121439,-0.1446849,0.6168182,0.01345742,0.633703,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1089792,1.079417,0.2739092,1.118947,-0.1069354,1.12362,0.2996289,1.167791,-0.09682384,1.118641,0.3194583,1.167385,-0.07855964,0.5944471,0.1281549,0.613158,-0.06195545,0.5472519,0.1339947,0.5668136,-0.05683477,0.5261993,0.1177853,0.5422078,0.1078768,-0.07165387,0.03430973,0.1339733,0.1542816,-0.06163484,0.01518321,0.1668299,0.1545851,-0.07139218,-0.005430892,0.1703611,-0.1208523,0.03246663,-0.04867417,0.1342704,-0.1491113,0.06050856,-0.01781534,0.1619039,-0.1447058,0.07656123,0.003517285,0.163749,0.1030558,-0.0780057,0.03682312,0.1343925,0.1502561,-0.06623437,0.0115122,0.1646099,0.1492631,-0.07673822,-0.005953143,0.1679395,-0.1199898,0.03107801,-0.05185648,0.1343596,-0.1491685,0.060364,-0.01881523,0.1620156,-0.1431884,0.07647581,0.002382269,0.1623488,0.1184494,-0.07634872,0.0247393,0.1430784,-0.3057885,0.863767,-0.1232532,0.3810628,135.2009,-0.3307433,0.9342573,-0.1333116,-0.1292224,0.04716169,-0.03277953,0.1414113,-0.3302097,-0.1632134,0.01241974,0.9296067,43.25281,-0.8959625,-0.4428492,0.03369866,-0.09742294,1.095151,0.2916907,1.137511,0.07491995,-0.0430703,-0.1125699,0.9898787,16.31741,0.5279197,-0.3034927,-0.7932183,0.1254719,-0.06797384,0.01288846,0.1432821,0.3525337,0.8166097,-0.2920451,0.351537,138.8373,0.3765686,0.8722842,-0.311956,-0.04382394,-0.1913673,-0.5213211,0.5570616,-0.5273731,-0.5797416,0.5548317,0.2791761,147.5779,-0.5492097,-0.6037465,0.5778053,0.197423,0.004849076,0.008309275,0.1976572,-0.117566,0.4804218,0.8285089,0.2625758,149.5541,-0.1218413,0.4978923,0.8586375,-0.158971,1.212672,-0.07773885,1.225515,0.06015673,0.004700155,-0.185057,-0.9808736,337.552,0.3090577,0.02414724,-0.9507378,True,True,False,False
1772879931348,0.1119307,-0.00310301,1.031281,0.206092,1.051677,-0.4305022,-0.806518,0.1844857,0.3607791,137.7039,-0.4615897,-0.8647584,0.1978078,-0.1446875,0.6168419,0.01346986,0.6337269,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1089925,1.080765,0.2720142,1.119788,-0.1061548,1.123234,0.2989766,1.16718,-0.0966247,1.116599,0.3184915,1.165146,-0.07867993,0.5942779,0.1281438,0.6130069,-0.06191375,0.5472735,0.1339448,0.5668181,-0.05681108,0.5262107,0.1177191,0.542202,0.1079166,-0.07175655,0.03481419,0.1341903,0.1534212,-0.06272677,0.01515818,0.1664406,0.1526709,-0.0729706,-0.005094618,0.1692899,-0.1208998,0.03242808,-0.04845534,0.1342246,-0.1490632,0.06056772,-0.01780973,0.1618811,-0.144645,0.07661221,0.003544554,0.1637198,0.1034863,-0.07745232,0.03664523,0.1343545,0.1505364,-0.06592377,0.01183506,0.1647641,0.1495649,-0.07640459,-0.005877119,0.1680532,-0.1200704,0.03119756,-0.0515553,0.1343434,-0.1491592,0.06038204,-0.01872619,0.1620034,-0.1433174,0.07648788,0.002485191,0.1624698,0.1190158,-0.07585657,0.02452518,0.1432497,-0.3010637,0.8651027,-0.1232155,0.3818061,135.1088,-0.3257411,0.9360128,-0.1333151,-0.1293247,0.04727576,-0.03251231,0.1414812,-0.3302042,-0.1643821,0.01145069,0.9294152,43.31232,-0.8947757,-0.4454369,0.03102869,-0.09689843,1.091713,0.2890528,1.133481,0.1069981,-0.04036401,-0.1383834,0.9837541,20.68371,0.5960205,-0.224843,-0.7708483,0.123877,-0.06915606,0.01321636,0.1424877,0.354439,0.8174561,-0.3021975,0.3388438,140.3871,0.3767251,0.8688554,-0.3211987,-0.0431209,-0.1903915,-0.5199157,0.5553564,-0.5112642,-0.5770352,0.5619485,0.2997552,145.1142,-0.5359073,-0.6048485,0.5890346,0.1968984,0.008286953,0.01094723,0.1973766,-0.1138365,0.4548471,0.8505052,0.2383195,152.4252,-0.1172138,0.4683415,0.875738,-0.1588406,1.212685,-0.07789647,1.225522,0.05992487,0.003727011,-0.1855327,-0.9808021,337.5099,0.307298,0.01911232,-0.9514217,True,True,False,False
1772879931361,0.1264469,-0.001637725,1.030406,0.2046635,1.050536,-0.4377428,-0.8055546,0.1730274,0.3598953,137.8125,-0.4691814,-0.8634093,0.1854542,-0.1446492,0.6169558,0.01348532,0.6338294,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1088858,1.08003,0.2687135,1.11827,-0.1047326,1.119495,0.2979181,1.163183,-0.09561788,1.111282,0.3166991,1.159478,-0.07878885,0.5940791,0.1281019,0.6128195,-0.06183632,0.5473948,0.1338872,0.5669132,-0.05674224,0.526343,0.117641,0.5423063,0.1069775,-0.07268088,0.03661145,0.1344139,0.15075,-0.06563431,0.01511699,0.1651119,0.1487193,-0.07606805,-0.00463827,0.1671086,-0.1209658,0.03241064,-0.04811168,0.1341563,-0.1490006,0.06062248,-0.01780622,0.1618436,-0.1445583,0.07666185,0.003549539,0.1636665,0.1037502,-0.07709163,0.03664267,0.1343499,0.1505526,-0.06590188,0.01208315,0.1647881,0.149501,-0.07637914,-0.005783468,0.1679814,-0.1201381,0.03128926,-0.05129498,0.1343256,-0.1491472,0.06040022,-0.01865665,0.1619912,-0.1434112,0.07650103,0.002565651,0.16256,0.1193275,-0.075597,0.02445249,0.1433593,-0.2968643,0.8670818,-0.1236727,0.3804548,135.2763,-0.321004,0.937589,-0.1337292,-0.1294075,0.04736908,-0.03228358,0.1415357,-0.3302866,-0.1653568,0.01042551,0.929225,43.37134,-0.8938399,-0.4474977,0.02821408,-0.09650212,1.089793,0.2876955,1.131251,0.1283705,-0.03588796,-0.150314,0.9796116,23.17929,0.6389743,-0.1786352,-0.7481999,0.1210965,-0.0712919,0.01441666,0.1412613,0.35068,0.8200035,-0.3238818,0.3157821,143.1839,0.3695914,0.8642244,-0.341348,-0.04239687,-0.188048,-0.5161906,0.5510103,-0.4878311,-0.5722272,0.5687968,0.3332374,141.0692,-0.5174045,-0.6069168,0.6032784,0.1965021,0.01020718,0.01230451,0.1971514,-0.1120169,0.4361468,0.8634052,0.2275079,153.6992,-0.1150335,0.4478922,0.8866566,-0.1589628,1.212853,-0.0782079,1.225724,0.05921998,0.002089999,-0.1855865,-0.9808396,337.532,0.3039774,0.01072801,-0.9526193,True,True,False,False
1772879931375,0.1387322,-0.000816308,1.029751,0.20442,1.049846,-0.44471,-0.8042271,0.1626815,0.3591472,137.9043,-0.4765017,-0.8617202,0.1743114,-0.1446241,0.6169983,0.0134951,0.6338652,0.6177074,0.5428326,-0.5247526,0.2200121,154.5805,0.6332231,0.5564675,-0.5379334,-0.1086283,1.08015,0.2670974,1.117974,-0.1035574,1.118147,0.2976443,1.16171,-0.09490513,1.10843,0.3159538,1.156482,-0.07878882,0.5940159,0.1280786,0.6127534,-0.0618088,0.5474372,0.133894,0.5669528,-0.05670458,0.5264206,0.1176019,0.5423691,0.1064336,-0.07314421,0.03760014,0.1345063,0.1495219,-0.06690352,0.01508239,0.1645004,0.1463653,-0.07772478,-0.004346102,0.1657795,-0.1209794,0.03243104,-0.04800082,0.1341338,-0.1489984,0.06062556,-0.01780605,0.1618426,-0.1445012,0.07667675,0.003532171,0.1636227,0.1039745,-0.07676169,0.0367227,0.1343563,0.1504664,-0.06598561,0.01233384,0.1647615,0.1492389,-0.07649162,-0.005663326,0.1677954,-0.1202084,0.0313847,-0.05101964,0.1343059,-0.1491347,0.06041905,-0.01858555,0.1619786,-0.1435023,0.07651572,0.002646437,0.1626486,0.1195694,-0.07539893,0.0244351,0.1434535,-0.2924169,0.8696251,-0.1245349,0.3778036,135.6046,-0.315824,0.9392359,-0.1345035,-0.1294928,0.04746782,-0.03204242,0.141592,-0.3304099,-0.1663488,0.009348349,0.9290156,43.43623,-0.8929022,-0.4495421,0.02526305,-0.0958616,1.087845,0.2862374,1.12895,0.1473443,-0.02999222,-0.1616998,0.9753171,25.51311,0.6672928,-0.1358287,-0.7323059,0.1191746,-0.07253858,0.01520359,0.140341,0.355022,0.8209037,-0.3325483,0.2991458,145.1874,0.3720596,0.8602991,-0.3485073,-0.04209913,-0.1866901,-0.5142092,0.548668,-0.4764426,-0.5651482,0.5728348,0.3542183,138.5089,-0.5094755,-0.6043314,0.6125509,0.1958616,0.01215518,0.01376262,0.1967204,-0.108463,0.4185844,0.8749139,0.2180565,154.8102,-0.1111374,0.4289056,0.8964868,-0.1585926,1.21287,-0.07836176,1.225702,0.05874856,0.00020254,-0.1860868,-0.9807754,337.4942,0.3010583,0.00103792,-0.9536059,True,True,False,False
